Gene 1,Gene 2,Weight,Network group,Network
Unc5d,Ptchd4,0.009677728,Co-expression,Gallardo-Castrillon-2007
Nxph1,Unc5d,0.011722963,Co-expression,Gallardo-Castrillon-2007
Celf2,Unc5d,0.009838435,Co-expression,Gallardo-Castrillon-2007
Atp2b1,Unc5d,0.009926327,Co-expression,Gallardo-Castrillon-2007
Elavl2,Fam19a1,0.014352798,Co-expression,Gallardo-Castrillon-2007
Gria4,Unc5d,0.010008559,Co-expression,Gallardo-Castrillon-2007
Gad2,Nxph1,0.015873304,Co-expression,Gallardo-Castrillon-2007
Gad2,Gria4,0.01305191,Co-expression,Gallardo-Castrillon-2007
Gad2,Gria2,0.013356131,Co-expression,Gallardo-Castrillon-2007
Gad1,Unc5d,0.003681376,Co-expression,Gallardo-Castrillon-2007
Gad1,Gria4,0.007655279,Co-expression,Gallardo-Castrillon-2007
Gad1,Slc6a1,0.009516596,Co-expression,Gallardo-Castrillon-2007
Mylk2,Sox6,0.012911295,Co-expression,Gallardo-Castrillon-2007
Nrxn2,Gad1,0.009959068,Co-expression,Gallardo-Castrillon-2007
Nrxn3,Gad1,0.00985641,Co-expression,Gallardo-Castrillon-2007
Gria1,Atp2b1,0.005805914,Co-expression,Gallardo-Castrillon-2007
Gria1,Sst,0.003508819,Co-expression,Gallardo-Castrillon-2007
Gria1,Gria2,0.006227288,Co-expression,Gallardo-Castrillon-2007
Gria1,Nrxn2,0.007536861,Co-expression,Gallardo-Castrillon-2007
Nxph1,Cacna2d2,0.014569932,Co-expression,Rinn-Snyder-2004
Cit,Ptprt,0.024605198,Co-expression,Rinn-Snyder-2004
Grik1,Cit,0.013715817,Co-expression,Rinn-Snyder-2004
Slc6a1,Npas3,0.00973615,Co-expression,Rinn-Snyder-2004
Slc6a1,Elavl2,0.011761044,Co-expression,Rinn-Snyder-2004
Slc6a1,Cit,0.00988734,Co-expression,Rinn-Snyder-2004
Slc6a1,Grik1,0.004454116,Co-expression,Rinn-Snyder-2004
Sst,Nxph1,0.005106058,Co-expression,Rinn-Snyder-2004
Gad1,Sst,0.006573835,Co-expression,Rinn-Snyder-2004
Gad1,Gad2,0.012854858,Co-expression,Rinn-Snyder-2004
Pick1,Mylk2,0.008864209,Co-expression,Rinn-Snyder-2004
Nlgn2,Astn2,0.007608408,Co-expression,Rinn-Snyder-2004
Dlg3,Nlgn2,0.004086315,Co-expression,Rinn-Snyder-2004
Gria1,Sst,0.009416198,Co-expression,Rinn-Snyder-2004
Unc5d,Ptchd4,0.009726879,Co-expression,Thorrez-Schuit-2008
Unc5d,Nlgn1,0.009198071,Co-expression,Thorrez-Schuit-2008
Nxph1,Unc5d,0.006970137,Co-expression,Thorrez-Schuit-2008
Celf2,Unc5d,0.006103407,Co-expression,Thorrez-Schuit-2008
Elavl2,Unc5d,0.009388807,Co-expression,Thorrez-Schuit-2008
Kcnc1,Unc5d,0.008886139,Co-expression,Thorrez-Schuit-2008
Gria4,Unc5d,0.008445211,Co-expression,Thorrez-Schuit-2008
Gria4,Grik1,0.021766547,Co-expression,Thorrez-Schuit-2008
Slc6a1,Unc5d,0.008830028,Co-expression,Thorrez-Schuit-2008
Sst,Fam19a1,0.008197764,Co-expression,Thorrez-Schuit-2008
Gad1,Unc5d,0.004636791,Co-expression,Thorrez-Schuit-2008
