Gene 1,Gene 2,Weight,Network group,Network,cluster
GRIA1,TCF4,0.010774145,Co-expression,Zapala-Barlow-2005,1
GRIA1,EPHA6,0.011929319,Co-expression,Zapala-Barlow-2005,1
CELF4,GRIA1,0.005154469,Co-expression,Zapala-Barlow-2005,1
PPP3CA,PLK2,0.007274943,Co-expression,Zapala-Barlow-2005,1
PPP3CA,TCF4,0.009783068,Co-expression,Zapala-Barlow-2005,1
PPP3CA,EPHA6,0.010558441,Co-expression,Zapala-Barlow-2005,1
PPP3CA,GRIA1,0.009271733,Co-expression,Zapala-Barlow-2005,1
PRKCE,TCF4,0.011494177,Co-expression,Zapala-Barlow-2005,1
PRKCE,EPHA6,0.011396667,Co-expression,Zapala-Barlow-2005,1
PRKCE,GRIA1,0.011539816,Co-expression,Zapala-Barlow-2005,1
PRKCE,CELF4,0.005352196,Co-expression,Zapala-Barlow-2005,1
PRKCE,PPP3CA,0.009775392,Co-expression,Zapala-Barlow-2005,1
EPHA7,PLK2,0.01004355,Co-expression,Zapala-Barlow-2005,1
EPHA7,TCF4,0.013052529,Co-expression,Zapala-Barlow-2005,1
EPHA7,EPHA6,0.015759977,Co-expression,Zapala-Barlow-2005,1
EPHA7,GRIA1,0.013210558,Co-expression,Zapala-Barlow-2005,1
EPHA7,PPP3CA,0.012374305,Co-expression,Zapala-Barlow-2005,1
EPHA7,PRKCE,0.013139102,Co-expression,Zapala-Barlow-2005,1
GLRB,ELAVL2,0.003436613,Co-expression,Zapala-Barlow-2005,1
GRIA2,GRIA1,0.019315952,Co-expression,Zapala-Barlow-2005,1
GRIA2,CELF4,0.008661681,Co-expression,Zapala-Barlow-2005,1
GRIA2,PPP3CA,0.015422275,Co-expression,Zapala-Barlow-2005,1
GRIA2,PRKCE,0.019015482,Co-expression,Zapala-Barlow-2005,1
BDNF,TCF4,0.010159127,Co-expression,Zapala-Barlow-2005,1
BDNF,EPHA6,0.010875151,Co-expression,Zapala-Barlow-2005,1
BDNF,GRIA1,0.009689843,Co-expression,Zapala-Barlow-2005,1
BDNF,PPP3CA,0.009182649,Co-expression,Zapala-Barlow-2005,1
BDNF,PRKCE,0.010921274,Co-expression,Zapala-Barlow-2005,1
BDNF,EPHA7,0.013003234,Co-expression,Zapala-Barlow-2005,1
ST6GALNAC5,PLK2,0.007320455,Co-expression,Zapala-Barlow-2005,1
ST6GALNAC5,TCF4,0.008885091,Co-expression,Zapala-Barlow-2005,1
ST6GALNAC5,EPHA6,0.010663122,Co-expression,Zapala-Barlow-2005,1
ST6GALNAC5,GRIA1,0.009203027,Co-expression,Zapala-Barlow-2005,1
ST6GALNAC5,PPP3CA,0.007936121,Co-expression,Zapala-Barlow-2005,1
ST6GALNAC5,PRKCE,0.009414002,Co-expression,Zapala-Barlow-2005,1
ST6GALNAC5,EPHA7,0.011891097,Co-expression,Zapala-Barlow-2005,1
ST6GALNAC5,GRIA2,0.014243601,Co-expression,Zapala-Barlow-2005,1
ST6GALNAC5,BDNF,0.008435254,Co-expression,Zapala-Barlow-2005,1
GAD1,MEIS2,0.009628275,Co-expression,Zapala-Barlow-2005,1
GAD1,KCNC1,0.009921808,Co-expression,Zapala-Barlow-2005,1
GAD1,CELF4,0.003758651,Co-expression,Zapala-Barlow-2005,1
ADCY9,PLK2,0.008380839,Co-expression,Zapala-Barlow-2005,1
ADCY9,TCF4,0.011162419,Co-expression,Zapala-Barlow-2005,1
ADCY9,PPP3CA,0.010021496,Co-expression,Zapala-Barlow-2005,1
ADCY9,PRKCE,0.010695128,Co-expression,Zapala-Barlow-2005,1
ADCY9,EPHA7,0.01285652,Co-expression,Zapala-Barlow-2005,1
