Gene 1,Gene 2,Weight,Network group,Network
TENM4,PCDH9,0.014133214,Co-expression,Wang-Maris-2006
TOX,GRM8,0.021265034,Co-expression,Wang-Maris-2006
ZEB2,PTPRD,0.02031352,Co-expression,Wang-Maris-2006
MEIS2,TOX,0.023436666,Co-expression,Wang-Maris-2006
NRXN1,TOX,0.016041592,Co-expression,Wang-Maris-2006
NRXN1,PTPRD,0.016485842,Co-expression,Wang-Maris-2006
NRXN1,GRIA1,0.015987033,Co-expression,Wang-Maris-2006
DLG1,ZBTB20,0.021215834,Co-expression,Wang-Maris-2006
TENM1,TOX,0.023082644,Co-expression,Wang-Maris-2006
TENM1,PTPRD,0.024267398,Co-expression,Wang-Maris-2006
TENM1,NRXN1,0.014362314,Co-expression,Wang-Maris-2006
SGCB,SGCG,0.009612449,Co-expression,Wang-Maris-2006
GRIA3,PTPRT,0.01947703,Co-expression,Wang-Maris-2006
GRIA3,MEF2C,0.010718325,Co-expression,Wang-Maris-2006
MEF2A,NFIA,0.020843003,Co-expression,Wang-Maris-2006
NTM,CA10,0.012162057,Co-expression,Mallon-McKay-2013
NFIB,NFIA,0.006672395,Co-expression,Mallon-McKay-2013
ZBTB20,NFIA,0.009671616,Co-expression,Mallon-McKay-2013
ZBTB20,NFIB,0.011588929,Co-expression,Mallon-McKay-2013
PTPRT,CA10,0.01581766,Co-expression,Mallon-McKay-2013
PTPRT,NTM,0.02217974,Co-expression,Mallon-McKay-2013
MEIS2,TENM4,0.008877198,Co-expression,Mallon-McKay-2013
MEF2C,ZEB2,0.021062005,Co-expression,Mallon-McKay-2013
SGCD,TENM2,0.013124621,Co-expression,Mallon-McKay-2013
SGCG,TENM2,0.009878315,Co-expression,Mallon-McKay-2013
NFIX,NFIA,0.007968088,Co-expression,Mallon-McKay-2013
NFIX,NFIB,0.009139271,Co-expression,Mallon-McKay-2013
NFIX,NFIC,0.013041121,Co-expression,Mallon-McKay-2013
GRIA3,CA10,0.018206263,Co-expression,Mallon-McKay-2013
