Gene 1,Gene 2,Weight,Network group,Network
NEUROD6,HS6ST3,0.014235747,Co-expression,Roth-Zlotnik-2006
NEUROD6,FAM19A1,0.015527474,Co-expression,Roth-Zlotnik-2006
CADPS2,ZFPM2,0.007908925,Co-expression,Roth-Zlotnik-2006
PLK2,LRRTM4,0.011349227,Co-expression,Roth-Zlotnik-2006
ATP2B1,SORCS3,0.005317628,Co-expression,Roth-Zlotnik-2006
ATP2B1,PLK2,0.010014934,Co-expression,Roth-Zlotnik-2006
ATP2B1,RYR3,0.008808848,Co-expression,Roth-Zlotnik-2006
GRIA1,NEUROD6,0.017480759,Co-expression,Roth-Zlotnik-2006
GRIA1,PRKCG,0.01936125,Co-expression,Roth-Zlotnik-2006
TCF4,ZFPM2,0.011818433,Co-expression,Roth-Zlotnik-2006
GRIA3,HS6ST3,0.017759968,Co-expression,Roth-Zlotnik-2006
GRIA3,GRIA2,0.026316354,Co-expression,Roth-Zlotnik-2006
CLOCK,ASAP2,0.020188414,Co-expression,Roth-Zlotnik-2006
MYL12B,ARL15,0.008357002,Co-expression,Roth-Zlotnik-2006
MYL12B,ADGRL2,0.006505057,Co-expression,Roth-Zlotnik-2006
EXOC4,MYOD1,0.011472544,Co-expression,Roth-Zlotnik-2006
NEUROD6,HS6ST3,0.009125034,Co-expression,Mallon-McKay-2013
NEUROD6,FAM19A1,0.013664936,Co-expression,Mallon-McKay-2013
ADGRL2,KCNN2,0.012253112,Co-expression,Mallon-McKay-2013
PLK2,ZFPM2,0.008276539,Co-expression,Mallon-McKay-2013
ATP2B1,SORCS3,0.012819176,Co-expression,Mallon-McKay-2013
GRIA2,NEUROD6,0.012659396,Co-expression,Mallon-McKay-2013
TCF4,ADGRL2,0.01277687,Co-expression,Mallon-McKay-2013
CADPS,KCNN2,0.01976323,Co-expression,Mallon-McKay-2013
GRIA3,NEUROD6,0.01283803,Co-expression,Mallon-McKay-2013
GRIA3,GRIA1,0.026301395,Co-expression,Mallon-McKay-2013
GRIP1,ATP2B1,0.009170138,Co-expression,Mallon-McKay-2013
PCLO,GRIA1,0.022618148,Co-expression,Mallon-McKay-2013
SHANK1,PEX5L,0.013325661,Co-expression,Mallon-McKay-2013
GRIA2,ADGRL2,0.02367556,Co-expression,Rieger-Chu-2004
TCF4,RYR3,0.019310074,Co-expression,Rieger-Chu-2004
CADPS,ASAP2,0.01546493,Co-expression,Rieger-Chu-2004
ASAP2,ZEB2,0.020816691,Co-expression,Wang-Maris-2006
ADGRL2,ZEB2,0.020463107,Co-expression,Wang-Maris-2006
ADRB2,CNTNAP2,0.01594234,Co-expression,Wang-Maris-2006
ATP2B1,ADGRL2,0.015201942,Co-expression,Dobbin-Giordano-2005
DMD,KCNN2,0.013220851,Co-expression,Dobbin-Giordano-2005
GRIA2,ZFPM2,0.005903284,Co-expression,Dobbin-Giordano-2005
GRIA3,PRKCG,0.008930365,Co-expression,Dobbin-Giordano-2005
SNTA1,CNTNAP2,0.006614424,Co-expression,Dobbin-Giordano-2005
GRIP1,PRKCG,0.002660958,Co-expression,Dobbin-Giordano-2005
PCLO,ADGRL2,0.018167652,Co-expression,Dobbin-Giordano-2005
DLGAP1,PRKCG,0.011012417,Co-expression,Dobbin-Giordano-2005
RYR3,SORCS3,0.00708222,Co-expression,Bild-Nevins-2006 B
DMD,ADGRL2,0.010433924,Co-expression,Bild-Nevins-2006 B
ZEB2,ZFHX4,0.004625674,Co-expression,Wang-Cheung-2015
SORCS3,CNTNAP2,0.016456151,Co-expression,Wang-Cheung-2015
ID3,KCNN2,0.006453741,Co-expression,Wang-Cheung-2015
PCLO,MYOD1,0.007023679,Co-expression,Wang-Cheung-2015
SHANK1,NEUROD6,0.019805193,Co-expression,Wang-Cheung-2015
GRIA2,NEUROD6,0.019921908,Co-expression,Smirnov-Cheung-2009
GRIA3,SORCS3,0.031959705,Co-expression,Smirnov-Cheung-2009
GRIA3,RYR3,0.015445509,Co-expression,Smirnov-Cheung-2009
ID3,ZFHX4,0.008897439,Co-expression,Smirnov-Cheung-2009
PCLO,CADPS,0.019449934,Co-expression,Smirnov-Cheung-2009
DMD,PRKCG,0.007411956,Co-expression,Perou-Botstein-1999
PRKCG,NTM,0.012339314,Co-expression,Perou-Botstein-2000
CADPS,ADGRL2,0.018097362,Co-expression,Perou-Botstein-2000
MYL12B,PLK2,0.016346034,Co-expression,Perou-Botstein-2000
DMD,RYR3,0.009752621,Co-expression,Wu-Garvey-2007
MYOD1,ID3,0.02224944,Co-expression,Wu-Garvey-2007
NTM,PEX5L,0.007161029,Co-localization,Johnson-Shoemaker-2003
CNTNAP2,PEX5L,0.012130293,Co-localization,Johnson-Shoemaker-2003
ZEB2,NTM,0.00314879,Co-localization,Johnson-Shoemaker-2003
GRIA2,ATP2B1,0.00884692,Co-localization,Johnson-Shoemaker-2003
GRIA2,GRIA1,0.009917008,Co-localization,Johnson-Shoemaker-2003
CADPS,CNTNAP2,0.011970584,Co-localization,Johnson-Shoemaker-2003
GRIA3,GRIA2,0.007140839,Co-localization,Johnson-Shoemaker-2003
NSF,CNTNAP2,0.002974199,Co-localization,Johnson-Shoemaker-2003
NSF,ATP2B1,0.003685632,Co-localization,Johnson-Shoemaker-2003
NSF,PRKCG,0.006692365,Co-localization,Johnson-Shoemaker-2003
NSF,GRIA1,0.003734535,Co-localization,Johnson-Shoemaker-2003
NSF,GRIA2,0.003626019,Co-localization,Johnson-Shoemaker-2003
PICK1,NTM,0.005418961,Co-localization,Johnson-Shoemaker-2003
DLGAP1,KCNH7,0.014419294,Co-localization,Johnson-Shoemaker-2003
DLGAP1,GRIA3,0.007266842,Co-localization,Johnson-Shoemaker-2003
DLGAP1,NSF,0.003728687,Co-localization,Johnson-Shoemaker-2003
GRIA4,NTM,0.004991705,Co-localization,Johnson-Shoemaker-2003
SHANK1,NSF,0.007231355,Co-localization,Johnson-Shoemaker-2003
GRIA2,ATP2B1,0.009768185,Co-localization,Schadt-Shoemaker-2004
GRIA3,GRIA2,0.006349907,Co-localization,Schadt-Shoemaker-2004
GRIA4,ATP2B1,0.01080545,Co-localization,Schadt-Shoemaker-2004
GRIA4,GRIA2,0.007023969,Co-localization,Schadt-Shoemaker-2004
GRIA4,GRIA3,0.00588591,Co-localization,Schadt-Shoemaker-2004
KCNH7,HS6ST3,0.000342573,Genetic Interactions,Lin-Smith-2010
PEX5L,EPHA6,0.001303265,Genetic Interactions,Lin-Smith-2010
KCNN2,KCNH7,0.000340224,Genetic Interactions,Lin-Smith-2010
