Gene 1,Gene 2,Weight,Network group,Network,cluster
BNC2,FOXP2,0.015067158,Co-expression,Roth-Zlotnik-2006,1
NRXN3,CADM1,0.011082049,Co-expression,Roth-Zlotnik-2006,1
ERC2,CELF2,0.007518571,Co-expression,Roth-Zlotnik-2006,1
ENPP2,ZEB2,0.007322395,Co-expression,Roth-Zlotnik-2006,1
NLGN1,CADM1,0.015477617,Co-expression,Roth-Zlotnik-2006,1
RBFOX1,CELF2,0.009720696,Co-expression,Roth-Zlotnik-2006,1
RBFOX1,GRIA3,0.009048042,Co-expression,Roth-Zlotnik-2006,1
GRIA2,GRIA3,0.026316354,Co-expression,Roth-Zlotnik-2006,1
GRIA2,RBFOX1,0.01092928,Co-expression,Roth-Zlotnik-2006,1
DAB1,GRIA1,0.01805967,Co-expression,Roth-Zlotnik-2006,1
SYT1,CELF2,0.006336607,Co-expression,Roth-Zlotnik-2006,1
SYT1,R3HDM1,0.006404271,Co-expression,Roth-Zlotnik-2006,1
SYT1,ERC2,0.002674511,Co-expression,Roth-Zlotnik-2006,1
SYT1,GRIA2,0.007236282,Co-expression,Roth-Zlotnik-2006,1
DLG2,GRIA3,0.011464916,Co-expression,Roth-Zlotnik-2006,1
DLG2,NLGN1,0.008139551,Co-expression,Roth-Zlotnik-2006,1
DLG2,GRIA2,0.013186678,Co-expression,Roth-Zlotnik-2006,1
KCNMA1,SYT1,0.005988702,Co-expression,Roth-Zlotnik-2006,1
GRIN2A,ERC2,0.005374387,Co-expression,Roth-Zlotnik-2006,1
GRIN2A,SYT1,0.004699017,Co-expression,Roth-Zlotnik-2006,1
GRIN2B,GRIA3,0.022041373,Co-expression,Roth-Zlotnik-2006,1
NRXN1,ERC2,0.010422405,Co-expression,Roth-Zlotnik-2006,1
NRXN1,SYT1,0.008748952,Co-expression,Roth-Zlotnik-2006,1
LRP8,SYT1,0.006493976,Co-expression,Roth-Zlotnik-2006,1
CACNG2,NRXN1,0.011127047,Co-expression,Roth-Zlotnik-2006,1
BCL11A,R3HDM1,0.02118663,Co-expression,Wang-Maris-2006,1
ZEB2,CELF2,0.01672063,Co-expression,Wang-Maris-2006,1
HTR2C,ERC2,0.008749267,Co-expression,Wang-Maris-2006,1
ZIC1,R3HDM1,0.015490123,Co-expression,Wang-Maris-2006,1
NLGN1,ZEB2,0.015562961,Co-expression,Wang-Maris-2006,1
CADPS,ERC2,0.011301518,Co-expression,Wang-Maris-2006,1
GRIA1,ERC2,0.010341431,Co-expression,Wang-Maris-2006,1
SYT1,NLGN1,0.013673005,Co-expression,Wang-Maris-2006,1
DLG2,ERC2,0.010826974,Co-expression,Wang-Maris-2006,1
DLG2,SYT1,0.016661083,Co-expression,Wang-Maris-2006,1
NRXN1,NLGN1,0.021063885,Co-expression,Wang-Maris-2006,1
NRXN1,CADPS,0.013253645,Co-expression,Wang-Maris-2006,1
NRXN1,GRIA1,0.015987033,Co-expression,Wang-Maris-2006,1
NRXN1,SYT1,0.012287878,Co-expression,Wang-Maris-2006,1
LRP8,SYT1,0.017338071,Co-expression,Wang-Maris-2006,1
ERC2,CADM1,0.019171307,Co-expression,Burington-Shaughnessy-2008,1
CADPS,HTR2C,0.01841002,Co-expression,Burington-Shaughnessy-2008,1
APOE,ENPP2,0.012742545,Co-expression,Burington-Shaughnessy-2008,1
