Gene 1,Gene 2,Weight,Network group,Network
ERC2,FAM19A1,0.008002438,Co-expression,Roth-Zlotnik-2006
ERC2,CELF2,0.007518571,Co-expression,Roth-Zlotnik-2006
MYCBP2,CELF2,0.025124177,Co-expression,Roth-Zlotnik-2006
MYCBP2,ERC2,0.006699367,Co-expression,Roth-Zlotnik-2006
MYCBP2,BCL11A,0.019111894,Co-expression,Roth-Zlotnik-2006
ATP2B1,CELF2,0.010541785,Co-expression,Roth-Zlotnik-2006
CNKSR2,NRXN3,0.009037876,Co-expression,Roth-Zlotnik-2006
CNKSR2,NLGN1,0.014447927,Co-expression,Roth-Zlotnik-2006
GRIA1,CNKSR2,0.01689822,Co-expression,Roth-Zlotnik-2006
GRIA2,GRIA3,0.026316354,Co-expression,Roth-Zlotnik-2006
RBFOX1,CELF2,0.009720696,Co-expression,Roth-Zlotnik-2006
RBFOX1,GRIA3,0.009048042,Co-expression,Roth-Zlotnik-2006
RBFOX1,ATP2B1,0.004850957,Co-expression,Roth-Zlotnik-2006
RBFOX1,CNKSR2,0.008893045,Co-expression,Roth-Zlotnik-2006
RBFOX1,GRIA2,0.01092928,Co-expression,Roth-Zlotnik-2006
DAB1,GRIA1,0.01805967,Co-expression,Roth-Zlotnik-2006
SYT1,FAM19A1,0.005685895,Co-expression,Roth-Zlotnik-2006
SYT1,CELF2,0.006336607,Co-expression,Roth-Zlotnik-2006
SYT1,R3HDM1,0.006404271,Co-expression,Roth-Zlotnik-2006
SYT1,ERC2,0.002674511,Co-expression,Roth-Zlotnik-2006
SYT1,MYCBP2,0.005570137,Co-expression,Roth-Zlotnik-2006
SYT1,GRIA2,0.007236282,Co-expression,Roth-Zlotnik-2006
GRIN2B,GRIA3,0.022041373,Co-expression,Roth-Zlotnik-2006
PPP3CA,ATP2B1,0.006781938,Co-expression,Roth-Zlotnik-2006
PPP3CA,CNKSR2,0.011413818,Co-expression,Roth-Zlotnik-2006
PPP3CA,RBFOX1,0.006114758,Co-expression,Roth-Zlotnik-2006
KCNMA1,SYT1,0.005988702,Co-expression,Roth-Zlotnik-2006
GABRG2,ERC2,0.002745503,Co-expression,Roth-Zlotnik-2006
GABRG2,MYCBP2,0.005968162,Co-expression,Roth-Zlotnik-2006
GABRG2,CNKSR2,0.006482272,Co-expression,Roth-Zlotnik-2006
GABRG2,SYT1,0.002391522,Co-expression,Roth-Zlotnik-2006
GABRA1,SYT1,0.004234883,Co-expression,Roth-Zlotnik-2006
GABRA1,GABRG2,0.004871531,Co-expression,Roth-Zlotnik-2006
GABRB2,SYT1,0.00787155,Co-expression,Roth-Zlotnik-2006
GABRB2,GABRG2,0.0086003,Co-expression,Roth-Zlotnik-2006
GABRB2,GABRA1,0.016938474,Co-expression,Roth-Zlotnik-2006
DLG2,GRIA3,0.011464916,Co-expression,Roth-Zlotnik-2006
DLG2,NLGN1,0.008139551,Co-expression,Roth-Zlotnik-2006
DLG2,GRIA2,0.013186678,Co-expression,Roth-Zlotnik-2006
NRXN1,ERC2,0.010422405,Co-expression,Roth-Zlotnik-2006
NRXN1,SYT1,0.008748952,Co-expression,Roth-Zlotnik-2006
NRXN1,GABRG2,0.009552727,Co-expression,Roth-Zlotnik-2006
NRXN2,DAB1,0.011489332,Co-expression,Roth-Zlotnik-2006
CACNG2,CELF4,0.01165979,Co-expression,Roth-Zlotnik-2006
CACNG2,GABRB2,0.011582884,Co-expression,Roth-Zlotnik-2006
CACNG2,NRXN1,0.011127047,Co-expression,Roth-Zlotnik-2006
CACNG2,NRXN2,0.004754051,Co-expression,Roth-Zlotnik-2006
LRP8,SYT1,0.006493976,Co-expression,Roth-Zlotnik-2006
LRP8,GABRG2,0.007176596,Co-expression,Roth-Zlotnik-2006
FAM168A,GRIA4,0.009096433,Co-expression,Roth-Zlotnik-2006
BCL11A,R3HDM1,0.02118663,Co-expression,Wang-Maris-2006
ZIC1,R3HDM1,0.015490123,Co-expression,Wang-Maris-2006
CADPS,ERC2,0.011301518,Co-expression,Wang-Maris-2006
ATP2B1,R3HDM1,0.017538747,Co-expression,Wang-Maris-2006
GRIA1,ERC2,0.010341431,Co-expression,Wang-Maris-2006
GRIA1,CNKSR2,0.020354666,Co-expression,Wang-Maris-2006
GRIA2,MYCBP2,0.013605787,Co-expression,Wang-Maris-2006
SYT1,NLGN1,0.013673005,Co-expression,Wang-Maris-2006
GABRG2,GRIN2B,0.01322707,Co-expression,Wang-Maris-2006
GABRB2,NRXN3,0.00941418,Co-expression,Wang-Maris-2006
KIF17,GABRA1,0.013266532,Co-expression,Wang-Maris-2006
DLG2,ERC2,0.010826974,Co-expression,Wang-Maris-2006
DLG2,SYT1,0.016661083,Co-expression,Wang-Maris-2006
NRXN1,NLGN1,0.021063885,Co-expression,Wang-Maris-2006
NRXN1,CADPS,0.013253645,Co-expression,Wang-Maris-2006
NRXN1,GRIA1,0.015987033,Co-expression,Wang-Maris-2006
NRXN1,SYT1,0.012287878,Co-expression,Wang-Maris-2006
LRP8,SYT1,0.017338071,Co-expression,Wang-Maris-2006
ATP2B1,AUTS2,0.017754925,Co-expression,Dobbin-Giordano-2005
ATP2B1,MYCBP2,0.016163584,Co-expression,Dobbin-Giordano-2005
DAB1,GRIA1,0.007990729,Co-expression,Dobbin-Giordano-2005
GRIN2B,CNKSR2,0.029003652,Co-expression,Dobbin-Giordano-2005
GRIN2B,DAB1,0.007810518,Co-expression,Dobbin-Giordano-2005
KCNMA1,GRIA2,0.011639435,Co-expression,Dobbin-Giordano-2005
KIF17,GRIA3,0.03472381,Co-expression,Dobbin-Giordano-2005
BHLHE40,NRXN3,0.011409394,Co-expression,Dobbin-Giordano-2005
NRXN3,ERC2,0.018293086,Co-expression,Mallon-McKay-2013
GRIA1,CELF4,0.02387623,Co-expression,Mallon-McKay-2013
GRIA1,GRIA3,0.026301395,Co-expression,Mallon-McKay-2013
HNRNPA2B1,DDX5,0.002815038,Co-expression,Mallon-McKay-2013
SYT1,GRIA1,0.014985045,Co-expression,Mallon-McKay-2013
GRIN2B,GRIA1,0.012621141,Co-expression,Mallon-McKay-2013
GABRG2,CELF4,0.013231225,Co-expression,Mallon-McKay-2013
GABRG2,GRIA3,0.014517513,Co-expression,Mallon-McKay-2013
GABRG2,GRIA1,0.011732819,Co-expression,Mallon-McKay-2013
GABRG2,SYT1,0.008806528,Co-expression,Mallon-McKay-2013
GABRA1,FAM19A1,0.010213909,Co-expression,Mallon-McKay-2013
GABRA1,CELF4,0.009056841,Co-expression,Mallon-McKay-2013
GABRA1,GRIA3,0.010044389,Co-expression,Mallon-McKay-2013
GABRA1,GRIA1,0.008012055,Co-expression,Mallon-McKay-2013
GABRA1,GRIA2,0.009535342,Co-expression,Mallon-McKay-2013
GABRA1,RBFOX1,0.00789873,Co-expression,Mallon-McKay-2013
GABRA1,SYT1,0.005654656,Co-expression,Mallon-McKay-2013
GABRA1,GRIN2B,0.005253222,Co-expression,Mallon-McKay-2013
GABRA1,GABRG2,0.005312133,Co-expression,Mallon-McKay-2013
DLG2,ERC2,0.022764025,Co-expression,Mallon-McKay-2013
DLG2,GABRA1,0.009096186,Co-expression,Mallon-McKay-2013
NRXN1,ERC2,0.011627777,Co-expression,Mallon-McKay-2013
NRXN2,NLGN1,0.010556645,Co-expression,Mallon-McKay-2013
NRXN2,NRXN1,0.007059619,Co-expression,Mallon-McKay-2013
CACNG2,GRIN2B,0.011278468,Co-expression,Mallon-McKay-2013
CACNG2,GABRA1,0.007127479,Co-expression,Mallon-McKay-2013
NRXN3,AUTS2,0.009957057,Co-expression,Smirnov-Cheung-2009
HNRNPA2B1,R3HDM1,0.0187143,Co-expression,Smirnov-Cheung-2009
RBFOX1,ERC2,0.017071607,Co-expression,Smirnov-Cheung-2009
KCNMA1,AUTS2,0.018037157,Co-expression,Smirnov-Cheung-2009
GRIA4,NLGN1,0.029977722,Co-expression,Smirnov-Cheung-2009
MSL1,PICK1,0.009330831,Co-expression,Smirnov-Cheung-2009
ERC1,GRIA3,0.01688777,Co-expression,Smirnov-Cheung-2009
MYCBP2,CELF2,0.015445608,Co-expression,Chen-Brown-2002
CADPS,ERC2,0.009211877,Co-expression,Chen-Brown-2002
GRIA2,ERC2,0.010559771,Co-expression,Chen-Brown-2002
GRIA2,CADPS,0.018274508,Co-expression,Chen-Brown-2002
BHLHE40,R3HDM1,0.019212915,Co-expression,Chen-Brown-2002
ERC2,FAM19A1,0.007210154,Co-expression,Innocenti-Brown-2011
CADPS,NLGN1,0.022131467,Co-expression,Innocenti-Brown-2011
HNRNPA2B1,DDX5,0.007681343,Co-expression,Innocenti-Brown-2011
GRIA2,ERC2,0.02269793,Co-expression,Innocenti-Brown-2011
GABRB2,DAB1,0.000563904,Co-expression,Innocenti-Brown-2011
GRIA4,FAM19A1,0.00550273,Co-expression,Innocenti-Brown-2011
FAM168A,HNRNPA2B1,0.003096447,Co-expression,Innocenti-Brown-2011
FAM168A,DAB1,0.001452448,Co-expression,Innocenti-Brown-2011
R3HDM1,AUTS2,0.014882547,Co-expression,Wu-Garvey-2007
