Gene 1,Gene 2,Weight,Network group,Network
NFIB,NFIA,0.006672395,Co-expression,Mallon-McKay-2013
ZBTB20,NFIA,0.009671616,Co-expression,Mallon-McKay-2013
ZBTB20,NFIB,0.011588929,Co-expression,Mallon-McKay-2013
ERC2,LRRC4C,0.015913228,Co-expression,Mallon-McKay-2013
ERC2,CA10,0.011720819,Co-expression,Mallon-McKay-2013
SLC4A3,TENM2,0.013534155,Co-expression,Mallon-McKay-2013
PPP3CA,TSHZ3,0.01023551,Co-expression,Mallon-McKay-2013
MEF2C,ZEB2,0.021062005,Co-expression,Mallon-McKay-2013
NRXN1,LRRC4C,0.010681336,Co-expression,Mallon-McKay-2013
NRXN1,ERC2,0.011627777,Co-expression,Mallon-McKay-2013
GRIA3,CA10,0.018206263,Co-expression,Mallon-McKay-2013
GRIA3,GRIA1,0.026301395,Co-expression,Mallon-McKay-2013
SGCD,TENM2,0.013124621,Co-expression,Mallon-McKay-2013
SGCG,TENM2,0.009878315,Co-expression,Mallon-McKay-2013
SGCG,SLC4A3,0.013539282,Co-expression,Mallon-McKay-2013
APBA2,LRRC4C,0.014558625,Co-expression,Mallon-McKay-2013
NFIX,NFIA,0.007968088,Co-expression,Mallon-McKay-2013
NFIX,NFIB,0.009139271,Co-expression,Mallon-McKay-2013
NFIX,NFIC,0.013041121,Co-expression,Mallon-McKay-2013
NLGN3,APBA2,0.012071857,Co-expression,Mallon-McKay-2013
SGCZ,LRRC4C,0.013128107,Co-expression,Innocenti-Brown-2011
NFIB,NFIA,0.024754044,Co-expression,Innocenti-Brown-2011
ERC2,CA10,0.010575376,Co-expression,Innocenti-Brown-2011
GRIA4,CA10,0.00759792,Co-expression,Innocenti-Brown-2011
MEF2C,LRRC4C,0.006868287,Co-expression,Innocenti-Brown-2011
MEF2C,ZEB2,0.01000063,Co-expression,Innocenti-Brown-2011
GRIA2,ERC2,0.02269793,Co-expression,Innocenti-Brown-2011
NFIX,PTPRD,0.021496173,Co-expression,Innocenti-Brown-2011
ZEB2,PTPRD,0.02031352,Co-expression,Wang-Maris-2006
SLC4A3,ERC2,0.006716442,Co-expression,Wang-Maris-2006
