official gene symbol,scores
LDHB,27.41563
RPS27,27.403614
RPS25,26.293686
RPS12,25.276535
RPL30,23.544117
MALAT1,23.046827
CD3D,22.971256
RPS27A,22.62146
RPL31,22.604588
RPLP2,22.572388
RPS6,22.419521
RPS3,21.621925
RPL23A,21.170374
RPS15A,21.054243
RPL3,20.775131
RPL9,20.650187
RPL21,20.459621
RPL32,20.212532
RPS3A,20.148499
RPL27A,20.079533
RPS20,19.619076
LTB,19.609138
RPL13A,19.605082
RPL13,19.236979
RPS14,19.066998
RPS23,19.034132
RPS18,18.77149
RPSA,18.672522
TPT1,18.320026
EEF1A1,18.279163
RPS13,18.234549
RPL36,17.904776
CD3E,17.8271
RPL35A,17.497772
RPS29,17.39024
RPL11,17.343008
RPS10,16.91064
TMEM66,16.231647
RPL5,16.116102
RPS28,15.8665085
RPS26,15.837085
NPM1,15.709098
IL32,15.556118
RPL10,15.439782
RPL10A,15.0793085
RPS4X,14.998307
RPLP0,14.738442
NOSIP,14.1649275
IL7R,14.153274
RPS5,14.104031
RPL19,14.095911
BTG1,14.0360775
RPS16,13.715428
RPS8,13.412791
RPL18,13.172406
RPL14,13.085517
RPS15,13.020594
CCR7,13.0003
RPS19,12.885304
RPL17,12.818429
PIK3IP1,12.659467
RPS2,12.561804
RPL7,12.106611
RPL22,11.967619
RPL24,11.89519
JUNB,11.835051
RPL7A,11.802842
CD27,11.764869
GLTSCR2,11.564715
EVL,11.499029
RPL37A,11.404866
RPL35,11.378949
RPS21,11.277678
RPL38,11.167645
RPL18A,11.12584
AES,11.044678
EEF1B2,10.875246
RPSAP58,10.856463
RPL36A,10.849578
LCK,10.729952
RPL27,10.479161
RPLP1,10.320652
RPS7,10.307667
CD7,10.290676
LEF1,10.171611
RPL37,10.104989
TCF7,10.084498
RPS4Y1,9.999779
LEPROTL1,9.970909
ZFP36L2,9.899628
RGCC,9.870233
CD2,9.489311
RPL15,9.480693
DDX5,9.454083
RPL4,9.41474
RHOH,9.33311
LDLRAP1,9.322514
TMEM123,9.261908
GIMAP5,9.168775
TRAT1,9.159032
RPL6,9.0017185
GIMAP7,8.978453
MAL,8.940738
PRKCQ-AS1,8.856096
C6orf48,8.758833
TOMM7,8.751938
RPL12,8.636915
PRDX2,8.575263
HNRNPA1,8.56566
C12orf57,8.56219
FHIT,8.522947
SELL,8.417567
JUN,8.412946
RPL28,8.410512
HINT1,8.272708
HSPA8,8.175588
SLC2A3,8.039844
SOD1,8.023196
DNAJB1,7.993959
OCIAD2,7.9555564
AQP3,7.939247
SUSD3,7.9001403
RPL26,7.897872
BTG2,7.792087
EIF4A2,7.7380676
FLT3LG,7.6996303
VAMP2,7.6947055
MYL12A,7.6812773
ITM2B,7.6697474
TRABD2A,7.6652393
CD40LG,7.621641
GYPC,7.424399
RARRES3,7.401085
RPL34,7.3642697
ACAP1,7.345206
NGFRAP1,7.2652016
RCAN3,7.234549
CXCR4,7.2267838
CD3G,7.2062078
RPL29,7.133974
AAK1,7.068565
LAT,7.0619564
SRSF5,6.945024
TRAF3IP3,6.8683395
SPOCK2,6.865922
ITM2A,6.8505697
LINC00176,6.8377085
NDFIP1,6.8152146
PTPRCAP,6.7959476
LINC00861,6.7415752
OXNAD1,6.708409
CD69,6.696889
PABPC1,6.588416
RGS10,6.5711603
EPHX2,6.5341296
RP11-664D1.1,6.4717836
NUCB2,6.457849
ARHGAP15,6.4529347
TSHZ2,6.406395
CD5,6.393513
FYB,6.2475667
IFITM1,6.243776
PEBP1,6.2337985
COX7C,6.1916485
IL2RG,6.131721
RPL23,6.0991797
CD6,6.062555
SNRPD2,6.047393
FOS,6.046336
C14orf64,6.033463
NELL2,6.0061564
RPL8,6.0040984
ST13,5.9279017
EEF1D,5.913859
TBC1D4,5.896038
PCED1B,5.890573
MGAT4A,5.874238
BCL11B,5.853895
ACTN1,5.747343
MYC,5.7412467
RIC3,5.706184
SCGB3A1,5.705344
PASK,5.701281
SOCS3,5.663254
NACA,5.663089
SH3YL1,5.6381373
STMN3,5.617764
GIMAP4,5.5791
FXYD5,5.5558844
ITK,5.496117
SELM,5.4862533
PLEKHB1,5.483906
BEX2,5.414394
TMEM204,5.3983107
GNB2L1,5.3789415
NBEAL1,5.2170305
TXK,5.1908503
DDX18,5.167166
PPA1,5.1520214
RP11-51J9.5,5.1346693
SORL1,5.047106
RPS9,5.043985
CCDC109B,4.9768834
ADTRP,4.9684744
APBA2,4.93498
COMMD6,4.901084
PIM1,4.836681
FAM102A,4.810451
TMA7,4.8066907
UBA52,4.7750816
TSTD1,4.7538257
PSIP1,4.730624
ATP6V0E2,4.7261925
CYTIP,4.6936803
MZT2A,4.683568
SIT1,4.6699824
CISH,4.655131
BTF3,4.621306
IL23A,4.6163664
RGL4,4.6096473
PBXIP1,4.5815926
GSTK1,4.571727
TESPA1,4.566301
UXS1,4.556815
AC013264.2,4.5568085
CALM1,4.545832
PRMT10,4.5138035
MZT2B,4.5131583
EIF3E,4.4888563
NMRK1,4.488479
RP11-291B21.2,4.4858246
FAU,4.4676943
SERINC5,4.4440427
SFXN1,4.443549
LSR,4.4406924
TNRC6C,4.4200277
THEM4,4.4113812
FBLN5,4.3998685
CD28,4.3846555
STK17A,4.3626456
PCSK1N,4.3445463
CMTM8,4.336942
TC2N,4.3049035
TTC39C,4.2997093
CAMK4,4.2764683
CCND3,4.2754116
CUTA,4.27432
SLFN5,4.257435
HAPLN3,4.253149
TCEA3,4.2482305
CRIP2,4.2215033
CD96,4.214902
HNRNPA0,4.212667
PPP1R2,4.210673
ID3,4.2040467
ICOS,4.173613
LETMD1,4.156338
RP11-796E2.4,4.155348
CMPK1,4.1534767
DDIT4,4.140624
RPL36AL,4.132519
BCL2,4.130668
SBDS,4.1264863
LY9,4.079823
LYRM5,4.068761
CITED2,4.063821
SKP1,4.034002
NSA2,4.0235558
FAM134B,4.0207024
CTC-523E23.11,4.007831
NAP1L4,4.0024304
RPL41,4.001098
ANKRD12,3.9877439
CYLD,3.9711716
EPHB6,3.9508126
AKTIP,3.9388726
PPP2R5C,3.9295166
BIN1,3.9019003
SUCLG2,3.8844042
ETS1,3.8798447
