official gene symbol,scores
CD74,75.965675
HLA-DRA,68.84393
HLA-DRB1,47.916935
HLA-DPB1,46.052048
HLA-DPA1,41.677444
CD79A,41.336678
CD79B,37.893448
HLA-DQA1,32.418873
CD37,28.67395
HLA-DQB1,28.175415
MS4A1,27.271858
TCL1A,23.107193
HLA-DRB5,22.540268
RPL18A,18.42758
LTB,15.76144
RPS23,15.17252
RPS27,15.151623
LINC00926,15.1251135
HLA-DMA,15.036612
RPS5,14.307244
CXCR4,14.240889
VPREB3,13.778291
RPS11,13.767441
RPL13A,13.617586
FCER2,12.822029
HLA-DMB,12.788028
HVCN1,12.756798
HLA-DQA2,12.014837
BANK1,11.142584
RPL8,10.991167
RPSA,10.534929
RPL15,10.3691225
RPS3A,10.192202
RPL23A,10.119761
RPS8,9.945286
RPL13,9.737905
RPS13,9.717495
RPL9,9.715164
ISG20,9.714873
PTPRCAP,9.656014
PPAPDC1B,9.647161
RPL21,9.636128
TSPAN13,9.47527
LAPTM5,9.336687
IRF8,9.271976
LY86,9.116461
EAF2,8.914338
CD72,8.843533
RPS19,8.68813
HLA-DOB,8.50682
MALAT1,8.430111
MEF2C,8.416513
SNHG7,8.416369
FCRLA,8.399914
GNG7,8.248648
SMIM14,8.244474
MARCH1,8.242147
CD52,8.137812
PDLIM1,8.073601
CD40,8.065944
PKIG,8.03599
FCRL1,7.9436955
RPL18,7.937464
SNX2,7.9235406
GNB2L1,7.8997726
CYB561A3,7.887978
RPL29,7.768874
RPS27A,7.753522
RPL10A,7.7493076
P2RX5,7.730937
BLK,7.6446514
RPLP2,7.639639
PLEKHF2,7.599106
NCF1,7.53831
PNOC,7.490472
CD19,7.483493
FAU,7.409606
KIAA0125,7.213195
BLNK,7.148643
RPL32,7.1481256
RPL30,7.0274534
RPS18,6.9559026
RPL19,6.9086847
QRSL1,6.9008284
CD22,6.8882904
TPD52,6.874479
IGLL5,6.816118
SNX29P2,6.796679
SWAP70,6.7191224
ORAI2,6.6741276
STX7,6.5778756
SPIB,6.5529437
RPL37,6.52227
FAM26F,6.510659
LAT2,6.2805037
ADAM28,6.2352467
IL4R,6.217895
FAIM3,6.2003813
STRBP,5.952009
RPL11,5.9153156
LIMD2,5.9130063
CD200,5.872282
RP11-693J15.5,5.857407
BIRC3,5.828553
CD180,5.811894
YBX3,5.778197
RPL12,5.746612
REL,5.7160053
RPL5,5.648326
BTG1,5.5769296
CDCA7L,5.492025
RALGPS2,5.4866223
ARHGAP24,5.4768014
AFF3,5.4719067
RPS6,5.4534087
HHEX,5.4464283
