official gene symbol,scores
CCL5,48.06344
NKG7,43.082817
B2M,26.413353
GZMA,25.564787
IL32,24.344584
CST7,23.594753
CTSW,22.703903
HLA-C,21.515312
HLA-A,21.126623
CD3D,17.633272
GZMK,16.43795
PTPRCAP,15.711018
MALAT1,15.119007
HLA-B,14.252651
LYAR,13.672099
CD8A,13.52134
HCST,12.834142
GZMM,12.465474
GZMH,11.995467
KLRG1,11.355531
PRF1,10.686989
CD3E,10.501895
CD99,10.468846
RPS27A,10.293685
LCK,10.066019
MYL12A,9.961972
CD8B,9.636647
APOBEC3G,9.379077
HOPX,8.837502
RARRES3,8.519859
DUSP2,8.45579
S100A4,8.086851
PFN1,7.978723
MATK,7.8216133
HLA-E,7.514728
SAMD3,7.4639716
CCL4,7.44674
RPL23A,7.4281425
FGFBP2,7.3033648
C12orf75,7.2777314
RPS3,7.2556677
DDX5,7.159931
CHST12,6.9614525
LAG3,6.933269
TIGIT,6.734521
IL2RG,6.6584997
NCR3,6.6316996
CD2,6.594786
ANXA1,6.588997
MYL12B,6.259698
MT-CO3,6.221667
RPL21,6.1992393
RAP1B,6.1112866
UBC,6.101235
CALM1,6.0752864
RPL3,6.037788
SH2D1A,6.0345016
KLRD1,5.987726
TPST2,5.973423
ID2,5.96011
GZMB,5.895172
FYN,5.84878
APMAP,5.84012
SH2D2A,5.8088026
SRGN,5.79824
HLA-F,5.715579
FCRL6,5.7097254
CD53,5.6714296
CTSC,5.6231475
ZAP70,5.520867
CD247,5.48027
GIMAP7,5.444153
AC092580.4,5.357604
SEPT7,5.3561506
MYO1F,5.2986035
YWHAQ,5.2536454
GNLY,5.2068267
LITAF,5.1935477
PPP2R5C,5.1057053
XCL2,5.0833645
BIN2,5.0670805
LAT,5.043131
SUN2,5.013339
ADRB2,4.989758
CD3G,4.9130907
PRKCH,4.9073358
PTPN4,4.9006925
ANXA6,4.900373
PTGDR,4.882467
SLC9A3R1,4.869816
PLA2G16,4.86063
TMBIM6,4.7894416
RPS7,4.779132
RP11-222K16.2,4.694105
MIB2,4.6902914
DHRS7,4.664782
NSG1,4.659549
TBX21,4.646794
S1PR5,4.6326823
GBP5,4.6267323
ARPC5L,4.6077642
C1orf21,4.595614
STK17A,4.5925603
RASSF1,4.5821414
CXCR4,4.568746
CLIC1,4.565642
MT-CYB,4.5612845
PPP1R18,4.54935
MT-ND2,4.5455303
TSEN54,4.531767
ACTB,4.51193
PLEK,4.511436
KLRB1,4.4938526
IFITM1,4.4678607
CD7,4.447897
CCDC167,4.4024887
HSPA8,4.3898225
PTPRC,4.368198
JAKMIP1,4.3482337
CMC1,4.341413
RPSA,4.3407035
SYNE2,4.335495
TMEM109,4.329149
MT-CO1,4.3178554
IFNG,4.311523
TUBA4A,4.295845
CD160,4.287583
XCL1,4.2792277
STOM,4.2774196
C9orf142,4.253697
PRR5,4.2470803
RPS15A,4.239728
HSPA5,4.217382
EOMES,4.210564
ARL4C,4.186458
ITGB2,4.1773
GIMAP4,4.1420317
CCND3,4.1381025
GPR56,4.113049
PDIA3,4.103707
CD320,4.0945244
XBP1,4.078364
LINC00152,4.069964
LCP1,4.0491505
MFSD10,4.0463586
CRTAM,4.032807
HSP90B1,4.030438
RUNX3,4.0144973
HSP90AA1,4.0033083
UBB,3.9810529
DNAJC1,3.976
CFL1,3.9671535
RPS3A,3.9523067
GIMAP5,3.950583
SIT1,3.9475203
PPIA,3.9390104
ABHD17A,3.9223793
GYG1,3.915457
ACTG1,3.8933153
SPSB3,3.8869638
OPTN,3.8718925
CAP1,3.8652337
RPS26,3.8525462
GIMAP6,3.8426461
PSMB9,3.8128572
ANXA2R,3.8122764
HNRNPA3,3.8104594
ZFP36L2,3.7948756
CIRBP,3.7846353
SLC4A10,3.7633712
CXCR6,3.759456
RPA2,3.7523232
IL18RAP,3.7067645
BTN3A2,3.704806
CPNE2,3.702402
RASSF5,3.6999931
CKLF,3.6934552
SH3BGRL3,3.659362
VAMP2,3.6529887
GBP2,3.638562
RAC2,3.6004634
ASCL2,3.5977943
PLEKHF1,3.5851734
ORAI1,3.580285
IL7R,3.5730124
AES,3.552209
PSME1,3.545905
DENND2D,3.540832
CORO1A,3.5390575
SPOCK2,3.5358982
ARL6IP1,3.520821
TERF2IP,3.5183067
PRSS23,3.5022104
RAB9A,3.5009005
TC2N,3.4951632
RAB7L1,3.446101
