official gene symbol,scores
FTL,69.88664
TYROBP,55.72662
LYZ,54.090443
CST3,52.469025
S100A9,49.16541
FTH1,47.99249
S100A8,41.812683
S100A4,41.326454
S100A6,35.645374
LGALS1,35.247837
LST1,32.04578
AIF1,30.502758
OAZ1,28.420507
FCN1,28.066086
FCER1G,25.729305
SAT1,25.2059
LGALS2,24.135164
COTL1,23.451118
CYBA,22.623253
S100A11,21.831873
CTSS,21.825266
GSTP1,21.794373
TYMP,21.779108
GPX1,20.167868
TMSB4X,18.953676
PSAP,18.416723
NPC2,17.570635
CFD,16.771667
TMSB10,15.245411
RAC1,15.202284
TSPO,14.713388
HLA-DRA,14.085475
CD14,14.04722
GABARAP,13.938692
NEAT1,13.773018
MS4A6A,13.580328
PYCARD,13.401409
GRN,12.987118
TKT,12.562797
CD68,12.3432865
CEBPD,12.256787
SERPINA1,12.072051
GAPDH,12.050809
AP1S2,11.745999
SH3BGRL3,11.541661
LGALS3,11.212022
TALDO1,11.086091
SERF2,10.6474905
IFI6,10.600808
CDA,10.450809
RBP7,10.3456335
BRI3,10.226518
BLVRB,10.224577
CSF3R,10.198699
ARPC1B,10.16885
AP2S1,10.154601
FCGRT,10.064991
SRGN,10.062569
PFDN5,9.824095
CFP,9.805815
NUP214,9.786195
IFI30,9.706196
RGS2,9.560047
NCF2,9.309499
SPI1,9.211708
RNF130,9.173521
IFITM3,9.048294
S100A12,8.924811
NFKBIA,8.768562
SLC7A7,8.726428
C1orf162,8.668237
FOSB,8.6649065
ODF3B,8.5859585
ATP6V0B,8.576626
ARPC3,8.573032
FPR1,8.557148
TNFSF13B,8.314047
LINC00936,8.282389
JUND,8.262141
LAMTOR4,8.256464
ALDH2,8.208938
ATP5G2,8.154795
MT-ND1,8.0899315
ANXA2,7.898686
CEBPB,7.8777633
H3F3B,7.852089
ACTB,7.7288547
LILRA5,7.7141476
FOLR3,7.6040096
STXBP2,7.593479
ASGR1,7.573716
IL8,7.5272813
C19orf38,7.5045257
C5AR1,7.411616
C4orf48,7.3902173
PRELID1,7.367261
CTSH,7.3606224
IL1B,7.3195076
CAPG,7.291544
VIM,7.2627892
CTSD,7.21257
HLA-DRB1,7.1297283
S100A10,7.0852113
TIMP1,7.045591
VCAN,7.012187
C20orf24,7.0093884
ISG15,6.963429
SMCO4,6.946566
AGTRAP,6.9026723
PLAUR,6.897532
BST1,6.8686604
MNDA,6.8627753
TCEB2,6.814116
MSRB1,6.7769585
IGSF6,6.760078
CTSB,6.742603
MAFB,6.5970554
RAB32,6.58267
SLC11A1,6.5799184
APOBEC3A,6.561864
FGR,6.5439444
MYL6,6.52017
CCL3,6.518064
NCF1,6.4653335
EIF4A1,6.4633393
MPEG1,6.4610815
G0S2,6.4133534
PGLS,6.3972135
QPCT,6.39692
COX6B1,6.377968
FKBP1A,6.3695455
PLBD1,6.354794
SERPINB1,6.351046
APLP2,6.3132844
CNPY3,6.2687325
PGD,6.251196
STX11,6.2259
LY86,6.1824923
MT-CO1,6.170352
KLF4,6.138003
VSTM1,6.1138234
MIR24-2,6.0061307
CTSZ,5.992204
TNFAIP2,5.9383054
GNAI2,5.9126253
GLRX,5.8992753
SCO2,5.8895316
LY6E,5.868348
AMICA1,5.7887444
CD33,5.7710443
RAB31,5.753399
CLTA,5.747671
CARD16,5.7047744
FCGR1A,5.6637154
FCGR2A,5.661955
CARS2,5.6189113
IFNGR2,5.585437
RNASE6,5.5736947
NOP10,5.4982886
LAMTOR2,5.486929
CPPED1,5.4772196
PRDX5,5.4678297
GCA,5.323574
TGFBI,5.309575
RETN,5.291037
CD36,5.262081
BLVRA,5.217082
DYNLT1,5.166974
EIF1,5.1545963
SULT1A1,5.1169486
CLEC4E,5.110226
FAM26F,5.0403066
MGST1,4.9995875
ASAH1,4.990815
HLA-DPA1,4.985492
HCK,4.976661
LRRC25,4.947736
ATP6V1F,4.9412827
BNIP3L,4.9180083
FGL2,4.892714
SOD2,4.834956
CYBB,4.7881703
GPX4,4.7476916
TMEM205,4.727767
RHOG,4.7080717
MSRB2,4.6927266
ID1,4.680548
EIF4EBP1,4.628001
UQCR11-1,4.6181955
TIMM13,4.579991
NRG1,4.5708714
CPVL,4.5206923
VAMP8,4.510691
CSTA,4.5044994
GPBAR1,4.496765
POLE4,4.491588
PILRA,4.4856615
PTPRE,4.4819293
ATP6V0D1,4.4745064
ATOX1,4.4717703
OSM,4.4654183
H2AFY,4.4625764
ARPC2,4.4458184
HNMT,4.433005
WDR83OS,4.425211
ARHGEF40,4.397439
SAMHD1,4.378813
OSCAR,4.3755536
COMT,4.3750024
TMEM219,4.3744445
C10orf54,4.366713
ALDOA,4.3647366
RP11-290F20.3,4.351441
LGALS9,4.3340735
LAMTOR1,4.3219566
NDUFB1,4.299307
GLIPR2,4.2872543
PRAM1,4.2790656
CATSPER1,4.271792
RHOB,4.2096972
CREG1,4.1945114
YBX3,4.1872325
HIGD2A,4.1758084
GRINA,4.1661444
CD302,4.159686
NFE2,4.138715
IER3,4.093625
THEMIS2,4.090468
SIRPA,4.0664797
ATP5I,4.0433726
NAGK,4.0392327
SLC31A2,4.0311913
SUPT4H1,4.026722
SAT2,3.977632
C15orf39,3.9759169
SLC43A2,3.9726236
CD74,3.9683518
FES,3.9180915
MIDN,3.898677
NDUFS7,3.895805
LTB4R,3.888493
DHRS4L2,3.8819473
KCNE3,3.8818116
BID,3.875269
PYGL,3.8647196
CASP1,3.8644314
CD300E,3.8631258
C19orf59,3.8623729
PDXK,3.858052
NDUFS6,3.83702
CTNNA1,3.8287632
LILRA3,3.826135
MS4A7,3.8217986
SPG21,3.817263
ZFP36,3.8033812
DUSP1,3.800189
BST2,3.7825615
IFI27L2,3.780388
FOS,3.7799704
GSTO1,3.7562127
CD1D,3.7551985
NPL,3.752735
HSBP1,3.7432153
NAPRT1,3.7342558
NFAM1,3.7329452
TBXAS1,3.7287688
EFHD2,3.7284732
TREM1,3.7280216
C20orf27,3.7065547
SERP1,3.6954932
SGK1,3.6921031
LYL1,3.6889791
MARCO,3.685916
MTMR11,3.6818662
COX8A,3.6655226
CLEC7A,3.6578739
SYK,3.6513772
APBB3,3.6387737
CDKN1A,3.633099
