official gene symbol,scores
CST3,40.350735
COTL1,36.467075
TYROBP,34.41936
AIF1,33.477703
LGALS1,32.530327
LST1,30.163292
FCER1G,29.064692
HLA-DRB1,28.844725
S100A11,28.166197
TYMP,28.01923
HLA-DRA,27.403456
HLA-DPA1,27.040531
SRGN,26.659485
SAT1,26.50296
FTH1,26.43504
PSAP,25.65292
ACTB,25.511667
OAZ1,25.369293
HLA-DRB5,24.176367
CYBA,24.001202
S100A6,23.763056
CTSS,23.69716
SPI1,23.344223
PYCARD,23.126398
ARPC1B,22.8214
ARPC3,22.573267
GABARAP,22.425745
NPC2,22.222662
CD74,21.975786
S100A4,21.921837
FTL,21.39981
ARPC2,21.294344
ANXA2,21.042145
HLA-DPB1,20.799477
CD68,20.252537
LYZ,20.16332
YBX1,19.998995
SH3BGRL3,19.678047
TPI1,19.175323
MYL6,18.908155
RAC1,18.68755
FKBP1A,18.429754
CFL1,18.32189
SERPINA1,18.05761
CLIC1,17.345886
NEAT1,17.297007
AP1S2,17.088083
IFITM3,16.912376
ANXA5,16.813034
CEBPB,16.804367
CFP,16.68304
LY6E,16.608944
EIF4A1,16.538832
TKT,16.185925
TIMP1,16.18276
ITGB2,15.987124
PFN1,15.948903
PRELID1,15.8291025
CFD,15.774872
HCK,15.725552
ALDOA,15.45433
BID,15.439236
VIM,15.416178
LSP1,15.40534
IFI30,15.3551655
AP2S1,15.274822
ATP6V0B,14.746685
GAPDH,14.699031
CSTB,14.60377
FGR,14.5995
ACTG1,14.542176
TSPO,14.531109
SLC25A6,14.317762
FCGRT,14.265329
MT-CO1,14.217464
SERP1,14.145242
VASP,13.802752
BRI3,13.780174
LGALS3,13.585766
C1orf162,13.429962
RHOG,13.375577
GSTP1,13.169991
STXBP2,13.144532
H3F3A,13.102852
GRN,12.956687
CALM2,12.948347
FCN1,12.924842
RNF130,12.892427
C10orf54,12.806361
RP11-290F20.3,12.800575
PILRA,12.773507
ABI3,12.760569
H2AFY,12.645807
CORO1A,12.609937
FAM26F,12.58262
CPVL,12.429726
IFITM2,12.39144
SERF2,12.32909
ASAH1,12.234029
S100A10,12.192512
LRRC25,12.171344
SLC7A7,12.102538
PGLS,12.007815
RNASET2,11.996039
ATP5B,11.926688
RHOA,11.873853
GPX1,11.81819
SLC25A5,11.79401
