official gene symbol,scores
LDHB,26.5124
LTB,23.170158
RPS12,23.00168
CD3D,22.336119
RPSA,21.527554
RPS25,20.546183
RPS18,20.349382
EEF1A1,20.198503
IL32,19.860878
RPS29,19.173714
RPS3,19.1138
RPS27A,18.826645
RPLP0,18.798344
RPS6,18.693884
TPT1,18.675352
CD3E,18.482897
RPS10,18.39895
RPL23A,18.302048
RPL31,17.885618
IL7R,17.730814
RPL3,17.729511
RPL9,17.593752
RPS27,17.526459
RPL13A,17.508953
RPS14,17.189867
RPL36A,16.951181
RPS15A,16.72362
RPL30,16.0257
RPL13,15.879227
RPL17,15.798874
RPS4X,15.606729
RPS2,15.46737
RPLP1,15.324856
RPS28,15.2297125
RPLP2,15.149481
RPL27A,15.009333
RPS3A,14.980527
RPL14,14.967463
RPL32,14.889739
RPL10,14.777877
NPM1,14.753133
RPL5,14.667223
RPL36,14.604846
RPS13,14.363665
RPS20,14.23851
RPL21,14.238012
RPL4,14.166508
RPS23,13.988961
JUNB,13.710409
RPSAP58,13.643967
RPL35A,13.609159
RPL18,13.4924965
RPS26,13.3324585
JUN,13.218922
RPS21,13.158899
TMEM66,13.141947
RPS5,12.935435
CD2,12.906462
RPL11,12.84779
EEF1B2,12.643872
HINT1,12.629684
RPS7,12.466437
RPS8,12.443712
RPL37,12.41747
RPL10A,12.361367
RPL19,12.186744
RPL28,12.166108
MYL12A,12.065624
RPS16,12.006477
RPL27,11.825614
RPL24,11.655829
RPL35,11.650066
AES,11.545903
RPL6,11.426839
GLTSCR2,11.40045
NOSIP,11.298785
RPL38,11.282322
RPL37A,11.21009
RPL18A,11.117583
HNRNPA1,10.8546915
RPL7A,10.537236
FOS,10.508975
HSPA8,10.216289
EVL,10.210825
RPS15,10.132921
RPL7,9.971232
TOMM7,9.925686
RPL22,9.658886
AQP3,9.560344
RPL12,9.4785185
TRAT1,9.405069
RPS19,9.363705
GIMAP7,9.297496
VIM,9.269345
SPOCK2,9.057906
RPL26,9.044221
TMEM123,9.020187
FXYD5,9.0080595
RPL15,8.762277
LCK,8.74096
EIF4A2,8.509253
MAL,8.464388
CD3G,8.440084
PRDX2,8.424805
FLT3LG,8.413827
RPS4Y1,8.391636
ZFP36L2,8.351124
PRKCQ-AS1,8.303566
CD27,8.102697
GNB2L1,8.046631
TNFRSF4,7.9679894
IFITM1,7.9547205
CD7,7.847512
CXCR4,7.82252
RPL29,7.789699
TTC39C,7.730557
PEBP1,7.653603
RPL34,7.635062
GSTK1,7.5919776
COX6C,7.5234203
TSC22D3,7.4781113
SOD1,7.397541
RGCC,7.3826118
BTF3,7.36197
GIMAP4,7.3362203
CD40LG,7.3165216
LAT,7.299058
ACAP1,7.276139
TNFAIP8,7.274882
RPL8,7.2742867
TRADD,7.2567835
PPA1,7.2229195
USP10,7.1706214
CALM1,7.047553
GIMAP5,7.001865
DDX5,7.0011325
LEF1,6.9937496
CD69,6.958585
ARHGAP15,6.9302397
IL2RG,6.902709
MZT2A,6.8667293
ANXA1,6.854201
BTG1,6.8396044
PLP2,6.825697
TCF7,6.814151
PABPC1,6.7894034
HSP90AA1,6.695313
HLA-A,6.6646895
LEPROTL1,6.6355314
TRAF3IP3,6.551605
B2M,6.5380945
ANKRD12,6.525994
ACTG1,6.514539
NAP1L1,6.500825
PBXIP1,6.492052
HMGN1,6.3995686
CCDC104,6.3795958
ISG20,6.354218
SKP1,6.3520107
EEF2,6.2363715
PTPRCAP,6.2252955
FYB,6.2151957
BIN1,6.152771
RPL41,6.1205907
RARRES3,6.0858126
CD52,6.0387044
RGS10,6.004583
DNAJB1,6.0026655
SNRPD2,5.9882846
ITM2B,5.916747
RPL23,5.8840666
MGAT4A,5.8204474
MIF,5.81469
ARL6IP5,5.814155
COX7C,5.791687
MYL12B,5.7602153
APRT,5.708382
UBA52,5.6618295
PDCD5,5.6594596
EIF3E,5.6564374
RAN,5.630039
NGFRAP1,5.6202917
EIF3L,5.586417
GPR183,5.584928
RPL36AL,5.560618
NDUFS5,5.534963
CRIP1,5.451096
CORO1B,5.433646
GPSM3,5.3973775
COMMD6,5.377907
CMPK1,5.3750277
SIT1,5.3734956
C12orf57,5.361747
ZFAS1,5.3253655
FKBP11,5.3185105
MYC,5.3135643
RP11-664D1.1,5.309808
ANXA2R,5.305094
SEPT1,5.3050933
ILF3-AS1,5.2949333
NBEAL1,5.29256
RGL4,5.288717
CUTA,5.272236
TNFAIP3,5.269115
TNFRSF25,5.264966
CRIP2,5.254296
SOCS3,5.198011
ADD3,5.1666107
TECR,5.15718
LIMS1,5.142329
SRP9,5.141662
HNRNPDL,5.131947
SNX6,5.127474
ITM2A,5.1262484
GTF3A,5.1029787
TRABD2A,5.102396
ABHD14B,5.0961266
UBC,5.09205
HAX1,5.0896583
OCIAD2,5.081795
NACA,5.0774794
PPP1R15A,5.0527563
YWHAQ,5.015144
CIB1,5.01329
CAMK4,5.001064
HSPE1,4.997025
PIM2,4.9901648
PSIP1,4.974491
INPP4B,4.9413085
SRSF3,4.930467
OPTN,4.925225
OXNAD1,4.865463
HMOX2,4.8402
IK,4.8151765
SUSD3,4.810888
PIM1,4.802932
CMTM8,4.792655
PIK3IP1,4.7882457
FBLN5,4.771696
PASK,4.767496
SUB1,4.7656856
YWHAZ,4.7573304
TOB1,4.7472696
DNAJB9,4.728626
DDX24,4.7280903
OST4,4.7260885
UBB,4.7216234
CD5,4.7147374
CD48,4.7140083
RPS9,4.7011433
TMED2,4.6913915
ATP1A1,4.688336
CYLD,4.6623573
EIF3F,4.6617703
GATA3,4.650908
OBFC1,4.6368713
EIF3K,4.626094
XRCC6,4.6053567
RP11-403A21.2,4.5882964
BCL11B,4.583885
NDUFA4,4.577236
SRSF5,4.541163
TUBA4A,4.494987
NDFIP1,4.4770017
PTGES3,4.4735975
EIF4B,4.4658413
SELM,4.4645233
ASF1A,4.443718
CD44,4.4429054
PPP2R5C,4.4356956
EEF1D,4.4315886
C6orf48,4.423856
SLC2A3,4.40876
HNRNPF,4.3958592
CCR7,4.3824
PRNP,4.3796396
PCID2,4.378034
LINC00176,4.3652506
RHOH,4.352862
SH3YL1,4.3510904
CD6,4.347993
PSMC5,4.3466268
TESPA1,4.3437767
AAK1,4.3332143
MZT2B,4.3217936
MVP,4.2854548
BEX2,4.2550035
CDC42SE2,4.249534
HNRNPH3,4.248788
REXO2,4.2410517
NMRK1,4.235654
SBDS,4.2254415
SIRPG,4.2241516
PCSK1N,4.217028
MPRIP,4.2120776
STT3B,4.1996236
DYNLT3,4.1945844
KHDRBS1,4.19193
SEPT9,4.17644
RP11-589C21.6,4.157268
NUDCD2,4.15621
CRBN,4.1448407
NSG1,4.12803
NAE1,4.123543
ANXA6,4.123294
SKAP1,4.116791
EXOSC8,4.109015
LGALS3BP,4.1024847
ABRACL,4.099099
ANAPC16,4.0891857
LTA,4.077714
NSMCE1,4.0766745
RORA,4.075674
RWDD1,4.071529
TCEAL8,4.0714016
HNRNPC,4.0708437
LDHA,4.0639896
RBMX,4.0631084
DUT,4.062792
CD96,4.0528092
CNBP,4.0457945
ATP5H,4.0404935
PPP6C,4.035666
BCAP31,4.022948
PPP1R2,4.010749
CCT7,4.007485
C19orf53,4.003799
YWHAH,3.9757936
TNFRSF18,3.9737875
CD164,3.9735034
EIF3H,3.9634235
SSBP1,3.9621024
HSPB1,3.9620123
CISH,3.959437
SVIP,3.9587865
DSTN,3.9569066
PAG1,3.9506893
KRTCAP2,3.9449449
DUSP2,3.9447908
TXN,3.9415634
C9orf78,3.9370146
ICOS,3.9308448
HSPD1,3.9276083
HNRNPA0,3.9121878
MALAT1,3.912041
YME1L1,3.9062722
TMEM204,3.9029884
EIF3I,3.9013367
CASP6,3.8985019
ZBTB25,3.8779383
UXS1,3.867022
GALM,3.8664916
ST13,3.8650155
AC013264.2,3.8609784
CDC25B,3.8513842
NOP58,3.8508077
NPM3,3.8462882
NPDC1,3.8458047
NDUFV2,3.8414145
ZC3H15,3.840657
LDLRAP1,3.8406165
U2AF1L4,3.8254158
TSTD1,3.824732
STMN3,3.824071
SOCS1,3.8206267
FOXP1,3.808093
IL23A,3.8033593
CDKN1B,3.8020551
PI16,3.7967381
DUSP11,3.7946866
ARL6IP1,3.7912083
SMDT1,3.7890131
ST3GAL1,3.7832522
CD247,3.7755175
DDX18,3.7747483
G3BP2,3.7617981
IL27RA,3.7544847
HSD17B8,3.7505436
MFNG,3.7355866
ALOX5AP,3.7307556
MRPL41,3.7286963
RNF167,3.727772
SLC39A8,3.718038
METAP2,3.715065
EPHX2,3.7139735
STAT1,3.7131224
KRT1,3.6975436
FUT7,3.687673
PLK3,3.6865237
CSDE1,3.6752937
CCDC167,3.675102
CCDC109B,3.6747692
MATR3,3.670872
RP11-18H21.1,3.6682758
UBE2D2,3.664778
CITED2,3.6639693
DCK,3.6594975
PHF1,3.6569445
TRAF1,3.6536663
TRAM1,3.6535795
CCND3,3.6523936
BIRC3,3.6503003
HMGA1,3.6479752
C19orf60,3.6420674
ATP5F1,3.6402247
LMNA,3.6379561
ODF2L,3.630794
CCT2,3.6243792
CCNL1,3.6230614
SCML4,3.61849
PRKCA,3.6126316
PDCL3,3.6112065
HTATSF1,3.6091998
GPR171,3.6044083
ABHD14A,3.6043384
ADH5,3.6039329
RP4-539M6.22,3.6030822
KLF2,3.599438
SSR2,3.5967267
YPEL5,3.5933163
SRSF7,3.582759
RPS27L,3.5819771
ATP6V0E2,3.578296
TWISTNB,3.5752308
AKTIP,3.5702248
ISCU,3.5680823
ARL14EP,3.5629752
EIF4G2,3.5452151
RPL39,3.5427806
VPS29,3.530117
CTC-523E23.11,3.5288317
CYTIP,3.5280383
NUTF2,3.5255983
EML4,3.5238426
TMEM173,3.5130656
TDP2,3.5115798
UBE2Q2,3.5113354
ITGB7,3.5069003
GIPC1,3.5068293
WTAP,3.5032756
IFI27,3.4991417
CAPN2,3.4968622
RCAN3,3.495834
DEGS1,3.4911788
FAM102A,3.4803555
MTFP1,3.4672632
HNRNPK,3.4609427
