official gene symbol,scores
PF4,59.517082
PPBP,56.42535
GPX1,51.103188
GNG11,43.35311
CCL5,40.2163
SDPR,39.145126
TAGLN2,36.244843
CALM3,27.99914
SPARC,27.473156
OAZ1,25.892818
TPM4,22.886648
RGS18,20.676771
NRGN,18.77651
RGS10,17.92904
HIST1H2AC,17.804026
CD9,16.20338
MYL12A,15.882101
MYL6,15.071495
SAT1,14.034956
ACTB,12.604788
ARPC5,12.450694
SH3BGRL3,12.29389
ITM2B,11.330979
FTH1,11.286546
ARPC1B,9.804123
CLU,9.163111
TUBB1,8.900325
GP9,8.790969
CTSA,8.641956
NGFRAP1,8.302821
CDKN2D,8.264389
NCOA4,8.162129
GRAP2,8.015811
ITGA2B,8.014588
TUBA4A,7.605058
TMSB4X,7.3593607
PRDX6,6.9400005
MPP1,6.391973
FKBP1A,6.301477
RUFY1,6.2875643
PGRMC1,6.2729197
ACTN1,6.2683053
AP001189.4,6.2638273
CA2,5.9403157
H3F3A,5.876109
ILK,5.8666787
OST4,5.8624053
FERMT3,5.397692
ASAH1,5.2862954
LAMTOR1,5.0889106
NAP1L1,4.96983
PTCRA,4.9602714
TREML1,4.958306
MMD,4.8482575
TMEM40,4.813939
SRGN,4.793389
ARHGDIB,4.784161
SNCA,4.7599936
F13A1,4.755273
PDLIM1,4.726305
HMGB1,4.7162704
TIMP1,4.7040815
RAP1B,4.6226225
CAPN1,4.563583
ODC1,4.5442705
RSU1,4.3739686
PTGS1,4.112872
TALDO1,4.1110954
PKM,4.0843544
SEPT5,4.0754223
DNAJB6,4.0305853
YWHAH,3.987496
WDR1,3.9793599
TPM1,3.9674592
MYL9,3.8602436
HIST1H2BK,3.8523095
SNN,3.8457716
ACRBP,3.792609
DYNLL1,3.7084823
SNX3,3.5808778
TPST2,3.5597968
GPX4,3.5325563
LIMS1,3.4409776
LY6G6F,3.4329903
GP1BA,3.4221709
CMTM5,3.3875802
RP11-367G6.3,3.3441668
PPDPF,3.3316054
GAS2L1,3.3059578
PLA2G12A,3.2743359
MARCH2,3.2403982
TSC22D1,3.2290533
PARVB,3.145033
CD151,3.1440446
RNF11,3.111268
GSN,3.1097791
LEPROT,3.0714664
MFSD1,3.032913
ARF1,3.0290902
TMEM50A,3.0226176
HLA-C,2.9960773
SH3BGRL,2.9645693
RAB11A,2.9127293
MAX,2.912728
HLA-E,2.8825593
C2orf88,2.8689735
AC147651.3,2.851837
FAXDC2,2.8483746
CLEC1B,2.841492
H2AFJ,2.8384032
HGD,2.838297
SERF2,2.8370667
C6orf25,2.8354502
SPINT2,2.8068752
ACTG1,2.795993
MLH3,2.782951
MAP3K7CL,2.7811768
NENF,2.7507792
FHL1,2.7219841
SRP14,2.718064
