official gene symbol,scores
MALAT1,18.640324
RPS3,9.9602375
CD3D,8.9976425
RPS12,8.659694
RPS27,8.655406
RPS27A,8.5578575
RPL23A,8.060644
RPL13,7.915827
RPS14,7.903953
RPS6,7.7647676
IL32,7.2839923
RPL27A,7.1081786
RPS25,6.627716
RPL13A,6.567734
RPL21,6.4842
RPLP2,6.3799124
RPL32,6.264163
RPS29,6.10049
RPL9,6.0180764
RPL3,5.468237
RPL31,5.212565
RPS15A,5.1721516
RPS18,5.0712075
RPL11,5.056407
RPL30,4.7323275
RPL35A,4.5147476
RPS3A,4.452225
RPS15,4.204053
RPL10,3.9483018
CCL5,3.8989294
CD3G,3.8904297
RPS16,3.82216
RPS23,3.28086
LDHB,3.2602234
CD8B,3.2429492
CD3E,2.9904609
RPS4X,2.97761
CCR7,2.77678
RPS19,2.7205904
RPS20,2.664413
RP11-138A9.2,2.6142788
LEF1,2.6055849
SPG11,2.6032732
LTB,2.557112
GIMAP7,2.530743
NOSIP,2.50308
ADTRP,2.4819827
RPL36,2.4582062
TPT1,2.4314315
NEMF,2.4170277
PRKCQ-AS1,2.4159768
TRAF3IP3,2.3947883
TTTY15,2.3888764
PTPRCAP,2.3523748
RPL5,2.3070338
RPL12,2.2797706
RPS28,2.2556822
GZMK,2.246521
RPL14,2.2129095
CD8A,2.1911948
SVIP,2.175341
RPL18,2.1568131
INADL,2.152659
RPSA,2.1468687
GPS2,2.1316762
SEPT1,2.1296785
ZNF682,2.0862427
ETS1,2.0599966
SATB1,2.0590417
AQP3,2.051538
GCC2,2.0291877
WAPAL,2.024218
ULK3,2.0208795
LCK,2.0067518
NELL2,1.9961791
SPAG9,1.9921817
HIST1H4J,1.9868808
TMCO6,1.9790962
SIT1,1.9286245
ALG10,1.9272176
IL7R,1.9271346
DDX11,1.9231662
SKAP1,1.9164218
ATP9B,1.905611
DNAJA3,1.8902917
SH3YL1,1.886216
GYPC,1.8814049
AP000350.4,1.8515713
TAF3,1.8394058
MBD1,1.8356019
HP1BP3,1.8280087
RPL4,1.8232591
LRRN3,1.8205248
RPS21,1.8155303
RP11-479G22.8,1.8111371
PYHIN1,1.8027998
INTS5,1.7995616
C16orf54,1.797013
KDM6A,1.7965838
RCCD1,1.7861848
MDS2,1.773734
RPL19,1.7641181
RP11-413H22.2,1.7613932
RREB1,1.760306
SAMSN1,1.751517
SNX19,1.7439955
CD2,1.7401298
PRKCA,1.7162439
RGMB,1.7132163
DNAJB1,1.7098453
DDX20,1.7084445
RP13-977J11.2,1.7044346
AIMP1,1.7013863
FYB,1.6976349
RPL18A,1.6949002
C5orf24,1.6914644
CA6,1.6903319
AGPS,1.6790019
ZNF681,1.6785856
RAD1,1.6765342
SLC35G1,1.6710488
C14orf64,1.6561562
ZNF599,1.649261
MYO6,1.6375906
HIST1H2AH,1.6370928
ODF2L,1.6305616
CAHM,1.6294603
FAM159A,1.6159267
PSMD5-AS1,1.6111816
PDCD1,1.6103479
ATP10A,1.6010123
RPLP0,1.5861496
SLC38A1,1.5852695
PHRF1,1.5760585
MSMO1,1.5649747
RP13-582O9.5,1.5630633
ZNF383,1.561146
AC006369.2,1.5586787
ZNF101,1.5580331
NDFIP2,1.5547959
UXT,1.5496382
LDLRAP1,1.5494933
ZNF414,1.5465806
IDE,1.5418857
WDR91,1.5391464
NIPAL3,1.529536
LPAR6,1.5282234
PLCL2,1.526879
SH3D19,1.5245777
CAND2,1.5220743
ZSCAN25,1.5181392
ZNF417,1.5129969
ARHGAP33,1.5086672
NOG,1.5072314
FBXW8,1.5050503
MIAT,1.503778
LAYN,1.5033637
VEGFB,1.4959501
PIK3IP1,1.4892817
KLRG1,1.4779592
EXOC6,1.4756924
LINC00685,1.4739769
ZNF200,1.4738561
RORA,1.4734839
TAF1A,1.4731266
FHL1,1.4723492
CD7,1.470729
LUC7L3,1.4680077
OSBPL7,1.4678886
NDFIP1,1.467176
PIK3R3,1.4641339
GPALPP1,1.462277
RPS2,1.4606196
UBR1,1.4600374
RRAGB,1.4547963
CCAR1,1.4523511
TCEA3,1.4522
CASP2,1.4482532
RP1-39G22.7,1.4466383
TMEM30B,1.4440441
FZD3,1.4410971
SCGB3A1,1.4403152
ACSM3,1.4290092
