Gene 1,Gene 2,Weight,Network group,Network
NRXN3,ZFPM2,0.005622437,Co-expression,Roth-Zlotnik-2006
ZBTB20,ZNF462,0.022014352,Co-expression,Roth-Zlotnik-2006
PPP2R2B,KIRREL3,0.015357215,Co-expression,Roth-Zlotnik-2006
MEIS2,ZNF462,0.0200585,Co-expression,Roth-Zlotnik-2006
RUNX1T1,ZFPM2,0.015360349,Co-expression,Roth-Zlotnik-2006
RUNX1T1,NRXN3,0.009220525,Co-expression,Roth-Zlotnik-2006
ERC2,LRRTM4,0.005127398,Co-expression,Roth-Zlotnik-2006
ERC2,MYCBP2,0.006699367,Co-expression,Roth-Zlotnik-2006
ERC2,PPFIA2,0.004341328,Co-expression,Roth-Zlotnik-2006
TCF4,ZFPM2,0.011818433,Co-expression,Roth-Zlotnik-2006
TCF4,MYCBP2,0.01534966,Co-expression,Roth-Zlotnik-2006
TCF4,RUNX1T1,0.022381898,Co-expression,Roth-Zlotnik-2006
NEGR1,LRRTM4,0.014272684,Co-expression,Roth-Zlotnik-2006
NEGR1,ERC2,0.008207017,Co-expression,Roth-Zlotnik-2006
C19orf47,NTM,0.016397336,Co-expression,Roth-Zlotnik-2006
DAO,TRPM3,0.023993887,Co-expression,Roth-Zlotnik-2006
DAO,SLC4A4,0.022285383,Co-expression,Roth-Zlotnik-2006
ELAVL4,ELAVL2,0.017740913,Co-expression,Roth-Zlotnik-2006
ELAVL4,ERC2,0.008728174,Co-expression,Roth-Zlotnik-2006
LHX2,PPFIA2,0.008693033,Co-expression,Roth-Zlotnik-2006
LHX2,ERC2,0.005847903,Co-expression,Roth-Zlotnik-2006
HDAC1,HDAC3,0.003543559,Co-expression,Roth-Zlotnik-2006
NLGN1,RFX3,0.014967871,Co-expression,Roth-Zlotnik-2006
NLGN1,PPFIA2,0.008317874,Co-expression,Roth-Zlotnik-2006
NLGN1,TCF4,0.011989383,Co-expression,Roth-Zlotnik-2006
SRRM2,DMD,0.009908373,Co-expression,Wu-Garvey-2007
ZBTB20,DMD,0.011623008,Co-expression,Wu-Garvey-2007
ZBTB20,SRRM2,0.021654602,Co-expression,Wu-Garvey-2007
KHDRBS3,AHCYL2,0.011467597,Co-expression,Wu-Garvey-2007
MYCBP2,SRRM2,0.017538639,Co-expression,Wu-Garvey-2007
TCF12,AUTS2,0.010036537,Co-expression,Wu-Garvey-2007
RFX4,PROX1,0.025539078,Co-expression,Wu-Garvey-2007
DPYSL3,DMD,0.008917391,Co-expression,Wu-Garvey-2007
DPYSL3,ZBTB20,0.019873448,Co-expression,Wu-Garvey-2007
DPYSL3,KHDRBS3,0.01738377,Co-expression,Wu-Garvey-2007
DPYSL3,MYCBP2,0.01668138,Co-expression,Wu-Garvey-2007
DAO,RFX3,0.008367917,Co-expression,Wu-Garvey-2007
DAO,PPFIA2,0.005337406,Co-expression,Wu-Garvey-2007
ELAVL4,MEIS2,0.007236137,Co-expression,Wu-Garvey-2007
LHX2,NRXN3,0.015896048,Co-expression,Wu-Garvey-2007
HDAC1,LHX2,0.021154718,Co-expression,Wu-Garvey-2007
