Gene 1,Gene 2,Weight,Network group,Network
MEIS2,ZNF462,0.0200585,Co-expression,Roth-Zlotnik-2006
PLK2,LRRTM4,0.011349227,Co-expression,Roth-Zlotnik-2006
ATP2B1,RYR3,0.008808848,Co-expression,Roth-Zlotnik-2006
ATP2B1,PLK2,0.010014934,Co-expression,Roth-Zlotnik-2006
GRIA1,CNKSR2,0.01689822,Co-expression,Roth-Zlotnik-2006
RUNX1T1,ZFPM2,0.015360349,Co-expression,Roth-Zlotnik-2006
TCF4,ZFPM2,0.011818433,Co-expression,Roth-Zlotnik-2006
TCF4,RUNX1T1,0.022381898,Co-expression,Roth-Zlotnik-2006
CADPS2,ZFPM2,0.007908925,Co-expression,Roth-Zlotnik-2006
CADPS2,RUNX1T1,0.01253001,Co-expression,Roth-Zlotnik-2006
GRIA3,HS6ST3,0.017759968,Co-expression,Roth-Zlotnik-2006
GRIA3,GRIA2,0.026316354,Co-expression,Roth-Zlotnik-2006
EFNA5,LRRTM4,0.011525148,Co-expression,Roth-Zlotnik-2006
EFNA3,EFNA5,0.01965016,Co-expression,Roth-Zlotnik-2006
MYL12B,ARL15,0.008357002,Co-expression,Roth-Zlotnik-2006
MYL12B,ADGRL2,0.006505057,Co-expression,Roth-Zlotnik-2006
ADGRL2,ZEB2,0.020463107,Co-expression,Wang-Maris-2006
GRIA1,CNKSR2,0.020354666,Co-expression,Wang-Maris-2006
GRIA2,RUNX1T1,0.017560486,Co-expression,Wang-Maris-2006
CBFA2T2,TCF4,0.015139315,Co-expression,Wang-Maris-2006
TCF3,TCF12,0.012766833,Co-expression,Wang-Maris-2006
GRIA2,ADGRL2,0.02367556,Co-expression,Rieger-Chu-2004
TCF4,RYR3,0.019310074,Co-expression,Rieger-Chu-2004
MEIS2,ZFPM2,0.006365716,Co-expression,Dobbin-Giordano-2005
ATP2B1,ADGRL2,0.015201942,Co-expression,Dobbin-Giordano-2005
DMD,KCNN2,0.013220851,Co-expression,Dobbin-Giordano-2005
GRIA2,ZFPM2,0.005903284,Co-expression,Dobbin-Giordano-2005
GRIA2,MEIS2,0.00492214,Co-expression,Dobbin-Giordano-2005
TCF4,MEIS2,0.006226998,Co-expression,Dobbin-Giordano-2005
EFNA1,EXT1,0.013775008,Co-expression,Dobbin-Giordano-2005
SNTA1,CNTNAP2,0.006614424,Co-expression,Dobbin-Giordano-2005
PCLO,ADGRL2,0.018167652,Co-expression,Dobbin-Giordano-2005
MEIS2,ZFHX4,0.021836564,Co-expression,Chen-Brown-2002
RYR3,MEIS2,0.022047868,Co-expression,Chen-Brown-2002
ID3,ZEB2,0.009837018,Co-expression,Chen-Brown-2002
CADPS,GRIA2,0.018274508,Co-expression,Chen-Brown-2002
TCF12,GRIA2,0.019149663,Co-expression,Chen-Brown-2002
