Gene 1,Gene 2,Weight,Network group,Network
NEUROD6,FAM19A1,0.013664936,Co-expression,Mallon-McKay-2013
NEUROD6,CELF4,0.011694111,Co-expression,Mallon-McKay-2013
NEUROD6,DGKB,0.011709932,Co-expression,Mallon-McKay-2013
OPCML,NEUROD6,0.011303126,Co-expression,Mallon-McKay-2013
ERC2,OPCML,0.021019313,Co-expression,Mallon-McKay-2013
NRXN3,OPCML,0.021706723,Co-expression,Mallon-McKay-2013
NRXN3,ERC2,0.018293086,Co-expression,Mallon-McKay-2013
CADPS,HS3ST4,0.026077503,Co-expression,Mallon-McKay-2013
NLGN1,RNF182,0.017542744,Co-expression,Mallon-McKay-2013
NTM,ERC2,0.017292935,Co-expression,Mallon-McKay-2013
NRXN2,NLGN1,0.010556645,Co-expression,Mallon-McKay-2013
ELMO1,KCNQ5,0.01554175,Co-expression,Mallon-McKay-2013
NLGN3,UNC5A,0.008349012,Co-expression,Mallon-McKay-2013
NRXN1,OPCML,0.01434365,Co-expression,Mallon-McKay-2013
NRXN1,ERC2,0.011627777,Co-expression,Mallon-McKay-2013
NRXN1,NRXN2,0.007059619,Co-expression,Mallon-McKay-2013
ELAVL2,DGKB,0.01978197,Co-expression,Wang-Maris-2006
DOCK4,ZBTB20,0.013430727,Co-expression,Wang-Maris-2006
CADPS,ELAVL2,0.018608812,Co-expression,Wang-Maris-2006
CADPS,ERC2,0.011301518,Co-expression,Wang-Maris-2006
NLGN1,DGKB,0.017997788,Co-expression,Wang-Maris-2006
NECTIN2,CALR,0.013640993,Co-expression,Wang-Maris-2006
NRXN1,DGKB,0.016013654,Co-expression,Wang-Maris-2006
NRXN1,OPCML,0.019553859,Co-expression,Wang-Maris-2006
NRXN1,ELAVL2,0.015660364,Co-expression,Wang-Maris-2006
NRXN1,CADPS,0.013253645,Co-expression,Wang-Maris-2006
NRXN1,NLGN1,0.021063885,Co-expression,Wang-Maris-2006
NEUROD6,FAM19A1,0.015527474,Co-expression,Roth-Zlotnik-2006
KCNQ5,HS3ST4,0.019070158,Co-expression,Roth-Zlotnik-2006
ERC2,FAM19A1,0.008002438,Co-expression,Roth-Zlotnik-2006
ERC2,NEUROD6,0.006158889,Co-expression,Roth-Zlotnik-2006
ERC2,CPNE4,0.007958948,Co-expression,Roth-Zlotnik-2006
ERC2,TRHDE,0.006833261,Co-expression,Roth-Zlotnik-2006
CACNA1C,OPCML,0.01146008,Co-expression,Roth-Zlotnik-2006
DCC,NEUROD6,0.017666176,Co-expression,Roth-Zlotnik-2006
NECTIN3,KHDRBS3,0.013086484,Co-expression,Roth-Zlotnik-2006
KCNQ3,HS3ST4,0.013784994,Co-expression,Roth-Zlotnik-2006
KCNQ3,DCC,0.023823043,Co-expression,Roth-Zlotnik-2006
NLGN3,PRKCA,0.022159584,Co-expression,Roth-Zlotnik-2006
NRXN1,OPCML,0.017053846,Co-expression,Roth-Zlotnik-2006
NRXN1,ERC2,0.010422405,Co-expression,Roth-Zlotnik-2006
FAM19A1,SHISA6,0.005495691,Co-expression,Innocenti-Brown-2011
ELAVL2,RNF182,0.020856207,Co-expression,Innocenti-Brown-2011
ERC2,SHISA6,0.011889729,Co-expression,Innocenti-Brown-2011
ERC2,FAM19A1,0.007210154,Co-expression,Innocenti-Brown-2011
NLGN1,CADPS,0.022131467,Co-expression,Innocenti-Brown-2011
RAB4A,NECTIN3,0.015769519,Co-expression,Innocenti-Brown-2011
NLGN3,CELF4,0.013838109,Co-expression,Innocenti-Brown-2011
NLGN3,PEAK1,0.013988281,Co-expression,Innocenti-Brown-2011
ERC2,CPNE4,0.00801771,Co-expression,Chen-Brown-2002
CADPS,ERC2,0.009211877,Co-expression,Chen-Brown-2002
NRP2,TRPS1,0.014096052,Co-expression,Chen-Brown-2002
NECTIN1,CADPS,0.017837817,Co-expression,Chen-Brown-2002
NRXN1,CPNE4,0.010394754,Co-expression,Chen-Brown-2002
UNC5C,DGKB,0.004935163,Co-expression,Wu-Garvey-2007
NLGN1,ERC2,0.005043093,Co-expression,Wu-Garvey-2007
PRKCA,ERC2,0.009438785,Co-expression,Wu-Garvey-2007
NECTIN3,ERC2,0.007560369,Co-expression,Wu-Garvey-2007
NRXN2,NRXN3,0.017559506,Co-expression,Wu-Garvey-2007
PTPRM,DOCK4,0.024427196,Co-expression,Wu-Garvey-2007
ERC2,TRPS1,0.020471873,Co-expression,Ramaswamy-Golub-2001
ATP6V0C,CALR,0.014282202,Co-expression,Ramaswamy-Golub-2001
PIP5K1A,PRKCA,0.007974576,Co-expression,Ramaswamy-Golub-2001
KHDRBS3,TRPS1,0.006126371,Co-expression,Wang-Cheung-2015
KHDRBS3,NRXN3,0.019868126,Co-expression,Wang-Cheung-2015
NRXN1,UNC5C,0.021481313,Co-expression,Wang-Cheung-2015
ERC2,CPNE4,0.003913691,Co-expression,Perou-Botstein-2000
NRP2,OPCML,0.008027148,Co-expression,Perou-Botstein-2000
NECTIN3,NRP2,0.005277819,Co-expression,Perou-Botstein-2000
NLGN1,DGKB,0.018311156,Co-expression,Bild-Nevins-2006 B
