Gene 1,Gene 2,Weight,Network group,Network
YWHAE,H2AFY,0.016515967,Co-expression,Rieger-Chu-2004
ACTB,RACK1,0.022097602,Co-expression,Rieger-Chu-2004
NDUFS3,GABARAPL2,0.0056318,Co-expression,Rieger-Chu-2004
DLG4,FRRS1L,0.015664876,Co-expression,Rieger-Chu-2004
CNIH1,HACD2,0.010652997,Co-expression,Rieger-Chu-2004
YWHAE,GABARAPL2,0.015504347,Co-expression,Bild-Nevins-2006 B
ACTB,RACK1,0.03134051,Co-expression,Bild-Nevins-2006 B
PLP1,EFNB3,0.015251718,Co-expression,Bild-Nevins-2006 B
GPM6B,EFNB3,0.017284364,Co-expression,Bild-Nevins-2006 B
PCYT1B,CNIH2,0.008375436,Co-expression,Roth-Zlotnik-2006
DDRGK1,SCAND1,0.007228648,Co-expression,Roth-Zlotnik-2006
EFNB3,CNIH2,0.009791539,Co-expression,Roth-Zlotnik-2006
YWHAE,GABARAPL2,0.007241875,Co-expression,Roth-Zlotnik-2006
PLP1,GABARAPL2,0.001885038,Co-expression,Roth-Zlotnik-2006
NDUFS3,NDUFV1,0.013800783,Co-expression,Roth-Zlotnik-2006
DLG4,CNIH2,0.009507371,Co-expression,Roth-Zlotnik-2006
CNIH3,CNIH2,0.009378959,Co-expression,Roth-Zlotnik-2006
GPM6B,GABARAPL2,0.002553277,Co-expression,Roth-Zlotnik-2006
GPM6B,YWHAE,0.00477879,Co-expression,Roth-Zlotnik-2006
GPM6B,PLP1,0.001549381,Co-expression,Roth-Zlotnik-2006
GPM6A,FRRS1L,0.02210472,Co-expression,Roth-Zlotnik-2006
NDUFB10,NDUFV1,0.009955919,Co-expression,Roth-Zlotnik-2006
NDUFB10,NDUFS3,0.005458261,Co-expression,Roth-Zlotnik-2006
NMNAT1,NDUFB10,0.010222641,Co-expression,Roth-Zlotnik-2006
EFNB3,FRRS1L,0.013488097,Co-expression,Wang-Maris-2006
ACTB,RACK1,0.02310527,Co-expression,Wang-Maris-2006
NDUFS3,NDUFV1,0.010431502,Co-expression,Wang-Maris-2006
GAST,PCYT1B,0.008561998,Co-expression,Wang-Maris-2006
CSRNP2,EFNB3,0.012539051,Co-expression,Wang-Maris-2006
CSRNP2,DLG4,0.01405096,Co-expression,Wang-Maris-2006
CNIH3,CCK,0.010420692,Co-expression,Wang-Maris-2006
GPM6B,PLP1,0.018521734,Co-expression,Wang-Maris-2006
GPM6A,CCK,0.010162633,Co-expression,Wang-Maris-2006
ACTB,RACK1,0.012095884,Co-expression,Ramaswamy-Golub-2001
DLG4,EFNB3,0.00869017,Co-expression,Ramaswamy-Golub-2001
GAST,GRM1,0.007890874,Co-expression,Ramaswamy-Golub-2001
CNIH4,CNIH1,0.008606349,Co-expression,Ramaswamy-Golub-2001
YWHAG,CNIH1,0.003511002,Co-expression,Ramaswamy-Golub-2001
NDUFB10,NDUFV1,0.00669936,Co-expression,Ramaswamy-Golub-2001
CNIH2,FRRS1L,0.004654741,Co-expression,Noble-Diehl-2008
NDUFS3,HIST3H2BB,0.012879134,Co-expression,Noble-Diehl-2008
DLG4,CNIH2,0.00714523,Co-expression,Noble-Diehl-2008
GAST,CNIH2,0.005385481,Co-expression,Noble-Diehl-2008
CSRNP2,DERL2,0.012804703,Co-expression,Noble-Diehl-2008
CSRNP2,GABARAPL2,0.012320333,Co-expression,Noble-Diehl-2008
HACD1,PCYT1B,0.007172239,Co-expression,Noble-Diehl-2008
GPM6B,PLP1,0.011087333,Co-expression,Noble-Diehl-2008
CNIH4,HIST3H2BB,0.015103402,Co-expression,Noble-Diehl-2008
CNIH4,GABARAPL2,0.009526602,Co-expression,Noble-Diehl-2008
NDUFB10,DDRGK1,0.005007787,Co-expression,Noble-Diehl-2008
CCK,PCYT1B,0.009014187,Co-expression,Wu-Garvey-2007
NDUFS3,NDUFV1,0.007300495,Co-expression,Wu-Garvey-2007
CSRNP2,TLK2,0.006863798,Co-expression,Wu-Garvey-2007
CNIH1,GABARAPL2,0.005012191,Co-expression,Wu-Garvey-2007
GPM6A,PLP1,0.004489905,Co-expression,Wu-Garvey-2007
DBH,CCK,0.00504723,Co-expression,Wu-Garvey-2007
PLP1,EFNB3,0.00964027,Co-localization,Schadt-Shoemaker-2004
PLP1,CCK,0.008534702,Co-localization,Schadt-Shoemaker-2004
DLG4,EFNB3,0.011297883,Co-localization,Schadt-Shoemaker-2004
DLG4,PLP1,0.005411978,Co-localization,Schadt-Shoemaker-2004
EFNB3,CSRNP3,0.010202225,Co-localization,Johnson-Shoemaker-2003
CCK,CSRNP3,0.008832452,Co-localization,Johnson-Shoemaker-2003
