Gene 1,Gene 2,Weight,Network group,Network
HS3ST4,NETO1,0.01596153,Co-expression,Roth-Zlotnik-2006
NEUROD6,FAM19A1,0.015527474,Co-expression,Roth-Zlotnik-2006
CLSTN2,CPNE4,0.02363968,Co-expression,Roth-Zlotnik-2006
CLSTN2,NEUROD6,0.014964662,Co-expression,Roth-Zlotnik-2006
KCNQ5,NETO1,0.027968448,Co-expression,Roth-Zlotnik-2006
KCNQ5,HS3ST4,0.019070158,Co-expression,Roth-Zlotnik-2006
SLIT1,NEUROD6,0.018778434,Co-expression,Roth-Zlotnik-2006
DCC,NETO1,0.023283396,Co-expression,Roth-Zlotnik-2006
DCC,NEUROD6,0.017666176,Co-expression,Roth-Zlotnik-2006
NECTIN3,KHDRBS3,0.013086484,Co-expression,Roth-Zlotnik-2006
KCNQ3,HS3ST4,0.013784994,Co-expression,Roth-Zlotnik-2006
KCNQ3,DCC,0.023823043,Co-expression,Roth-Zlotnik-2006
AKAP6,HS3ST4,0.016873002,Co-expression,Roth-Zlotnik-2006
AKAP6,ELAVL2,0.015501969,Co-expression,Roth-Zlotnik-2006
SEMA3A,KCNQ5,0.027052589,Co-expression,Roth-Zlotnik-2006
GRIA3,GRIA2,0.026316354,Co-expression,Roth-Zlotnik-2006
DACH2,NETO1,0.026722567,Co-expression,Roth-Zlotnik-2006
DACH2,FAM19A1,0.024037203,Co-expression,Roth-Zlotnik-2006
DACH2,HS3ST4,0.0180831,Co-expression,Roth-Zlotnik-2006
DACH2,CLSTN2,0.02461628,Co-expression,Roth-Zlotnik-2006
GRIA1,NEUROD6,0.017480759,Co-expression,Roth-Zlotnik-2006
GRIA1,SLIT1,0.020153021,Co-expression,Roth-Zlotnik-2006
GRIA1,DCC,0.018590119,Co-expression,Roth-Zlotnik-2006
GRIA1,DACH2,0.021528156,Co-expression,Roth-Zlotnik-2006
ELAVL2,CADPS,0.018608812,Co-expression,Wang-Maris-2006
DOCK4,ZBTB20,0.013430727,Co-expression,Wang-Maris-2006
NLGN1,PDE4D,0.022302652,Co-expression,Wang-Maris-2006
KHDRBS3,SLIT1,0.016005594,Co-expression,Wang-Maris-2006
AKAP6,CADPS,0.008503532,Co-expression,Wang-Maris-2006
AKAP6,ZBTB20,0.009611853,Co-expression,Wang-Maris-2006
AKAP6,ELAVL2,0.009328956,Co-expression,Wang-Maris-2006
ROBO1,MLLT4,0.02367581,Co-expression,Wang-Maris-2006
GRIA1,AKAP6,0.009604165,Co-expression,Wang-Maris-2006
NEUROD6,FAM19A1,0.013664936,Co-expression,Mallon-McKay-2013
NEUROD6,CELF4,0.011694111,Co-expression,Mallon-McKay-2013
CADPS,HS3ST4,0.026077503,Co-expression,Mallon-McKay-2013
NLGN1,RNF182,0.017542744,Co-expression,Mallon-McKay-2013
GRIA2,NEUROD6,0.012659396,Co-expression,Mallon-McKay-2013
NRXN2,NLGN1,0.010556645,Co-expression,Mallon-McKay-2013
GRIA3,NEUROD6,0.01283803,Co-expression,Mallon-McKay-2013
DNM2,ATP6V0C,0.012471383,Co-expression,Mallon-McKay-2013
DACH2,SHISA6,0.023952551,Co-expression,Mallon-McKay-2013
GRIA1,CELF4,0.02387623,Co-expression,Mallon-McKay-2013
GRIA1,GRIA3,0.026301395,Co-expression,Mallon-McKay-2013
