Gene 1,Gene 2,Weight,Network group,Network
GAD1,GAD2,0.01907192,Co-expression,Rieger-Chu-2004
GRIK1,NPAS3,0.015446724,Co-expression,Rieger-Chu-2004
KCNC1,SLC6A1,0.021888217,Co-expression,Rieger-Chu-2004
GRIA2,ZNF536,0.014473897,Co-expression,Rieger-Chu-2004
GRIA2,SLC6A1,0.025529208,Co-expression,Rieger-Chu-2004
NXPH1,FAM19A1,0.014175899,Co-expression,Mallon-McKay-2013
ZNF536,FAM19A1,0.010050553,Co-expression,Mallon-McKay-2013
ZNF536,NXPH1,0.004863374,Co-expression,Mallon-McKay-2013
GRIK1,NXPH1,0.012912546,Co-expression,Mallon-McKay-2013
SLC6A1,ZNF536,0.009507179,Co-expression,Mallon-McKay-2013
KCNC1,NXPH1,0.013503516,Co-expression,Mallon-McKay-2013
KCNC1,ZNF536,0.009590181,Co-expression,Mallon-McKay-2013
GRIP1,ATP2B1,0.009170138,Co-expression,Mallon-McKay-2013
GRIA2,ZNF536,0.009309306,Co-expression,Mallon-McKay-2013
KCNC2,FAM19A1,0.010522012,Co-expression,Mallon-McKay-2013
KCNC2,NXPH1,0.005148488,Co-expression,Mallon-McKay-2013
KCNC2,ZNF536,0.003583269,Co-expression,Mallon-McKay-2013
KCNC2,GRIK1,0.009593576,Co-expression,Mallon-McKay-2013
KCNC2,SLC6A1,0.009976512,Co-expression,Mallon-McKay-2013
KCNC2,KCNC1,0.010071845,Co-expression,Mallon-McKay-2013
KCNC2,GRIA2,0.009810853,Co-expression,Mallon-McKay-2013
CACNG2,KCNC2,0.006866471,Co-expression,Mallon-McKay-2013
GRIA1,KCNC2,0.008172182,Co-expression,Mallon-McKay-2013
GRIA1,GRIA3,0.026301395,Co-expression,Mallon-McKay-2013
SLC6A1,GAD1,0.007711989,Co-expression,Wang-Maris-2006
BCL11A,GAD1,0.01072666,Co-expression,Wang-Maris-2006
CNR1,CELF2,0.018713059,Co-expression,Wang-Maris-2006
ERBB4,ZNF536,0.019200586,Co-expression,Wang-Maris-2006
GRIA3,GAD1,0.009603413,Co-expression,Wang-Maris-2006
GRIA3,SLC6A1,0.012029701,Co-expression,Wang-Maris-2006
PICK1,SST,0.010210559,Co-expression,Wang-Maris-2006
ZNF536,GAD1,0.00971403,Co-expression,Burington-Shaughnessy-2008
NRXN3,GAD1,0.007593626,Co-expression,Burington-Shaughnessy-2008
BCL11A,ZBTB20,0.011523536,Co-expression,Burington-Shaughnessy-2008
ERBB4,GAD1,0.009292791,Co-expression,Burington-Shaughnessy-2008
GRIA2,GAD1,0.006088493,Co-expression,Burington-Shaughnessy-2008
LRRFIP1,CELF2,0.021791054,Co-expression,Burington-Shaughnessy-2008
TRAK1,ZBTB20,0.012793328,Co-expression,Burington-Shaughnessy-2008
SGCB,SLC6A1,0.024963565,Co-expression,Burington-Shaughnessy-2008
KCNV2,NRXN3,0.01948388,Co-expression,Burington-Shaughnessy-2008
SST,NPAS3,0.011409067,Co-expression,Dobbin-Giordano-2005
ERBB4,NPAS3,0.015738826,Co-expression,Dobbin-Giordano-2005
ERBB4,SST,0.007473475,Co-expression,Dobbin-Giordano-2005
GRIP1,KCNC1,0.005386347,Co-expression,Dobbin-Giordano-2005
CACNG2,ELAVL2,0.005770044,Co-expression,Dobbin-Giordano-2005
NLGN1,SGCB,0.0139649,Co-expression,Dobbin-Giordano-2005
UNC5D,FAM19A1,0.006409891,Co-expression,Innocenti-Brown-2011
GAD2,FAM19A1,0.008215764,Co-expression,Innocenti-Brown-2011
GAD2,UNC5D,0.016318284,Co-expression,Innocenti-Brown-2011
ZNF536,FAM19A1,0.004982192,Co-expression,Innocenti-Brown-2011
GRIA4,FAM19A1,0.00550273,Co-expression,Innocenti-Brown-2011
GRID2,FAM19A1,0.009704715,Co-expression,Innocenti-Brown-2011
GRID2,GRIA4,0.012923062,Co-expression,Innocenti-Brown-2011
GRIK1,FAM19A1,0.02180864,Co-expression,Roth-Zlotnik-2006
CELF2,ATP2B1,0.010541785,Co-expression,Roth-Zlotnik-2006
KCNC1,NRXN3,0.005327619,Co-expression,Roth-Zlotnik-2006
ERBB4,SLC6A1,0.009620776,Co-expression,Roth-Zlotnik-2006
GRIA3,GRIA2,0.026316354,Co-expression,Roth-Zlotnik-2006
CACNG2,KCNC1,0.004787301,Co-expression,Roth-Zlotnik-2006
GRIP1,SLC6A1,0.024677532,Co-expression,Smirnov-Cheung-2009
NLGN1,GRIA4,0.029977722,Co-expression,Smirnov-Cheung-2009
SLC6A1,GRIK1,0.02190495,Co-expression,Wu-Garvey-2007
SLC6A1,GRIK1,0.017700741,Co-expression,Perou-Botstein-2000
GRIA1,CNR1,0.012546544,Co-expression,Perou-Botstein-2000
BYSL,GAD1,0.007826043,Co-expression,Perou-Botstein-2000
CELF2,ZBTB20,0.012386869,Co-expression,Bahr-Bowler-2013
GRIK1,ELAVL2,0.005501999,Co-expression,Perou-Botstein-1999
RHOC,SST,0.011078039,Co-expression,Perou-Botstein-1999
CELF2,ATP2B1,0.013443903,Co-expression,Bild-Nevins-2006 B
SGCB,ZNF536,0.011790565,Co-expression,Bild-Nevins-2006 B
KCNV2,ZNF536,0.009807994,Co-expression,Bild-Nevins-2006 B
ATP2B1,GAD2,0.01195395,Co-localization,Johnson-Shoemaker-2003
BCL11A,CELF2,0.02160619,Co-localization,Johnson-Shoemaker-2003
CNR1,BCL11A,0.017157966,Co-localization,Johnson-Shoemaker-2003
KCNC1,GRIA4,0.008988891,Co-localization,Johnson-Shoemaker-2003
GRIA2,ATP2B1,0.00884692,Co-localization,Johnson-Shoemaker-2003
GRIA2,NRXN3,0.017990466,Co-localization,Johnson-Shoemaker-2003
GRIA3,NRXN3,0.013397565,Co-localization,Johnson-Shoemaker-2003
GRIA3,GRIA2,0.007140839,Co-localization,Johnson-Shoemaker-2003
CACNG2,ELAVL2,0.006995722,Co-localization,Johnson-Shoemaker-2003
CACNG2,GAD1,0.008802211,Co-localization,Johnson-Shoemaker-2003
CACNG2,NRXN3,0.013422737,Co-localization,Johnson-Shoemaker-2003
GRIA1,CELF2,0.016446078,Co-localization,Johnson-Shoemaker-2003
GRIA1,ERBB4,0.019101648,Co-localization,Johnson-Shoemaker-2003
GRIA1,GRIA2,0.009917008,Co-localization,Johnson-Shoemaker-2003
NLGN1,ELAVL2,0.01661043,Co-localization,Johnson-Shoemaker-2003
NLGN1,CACNG2,0.011915587,Co-localization,Johnson-Shoemaker-2003
ATP2B1,GAD2,0.01095769,Co-localization,Schadt-Shoemaker-2004
GRIA4,GAD2,0.006625953,Co-localization,Schadt-Shoemaker-2004
GRIA4,ATP2B1,0.01080545,Co-localization,Schadt-Shoemaker-2004
GRIA2,GAD2,0.006272157,Co-localization,Schadt-Shoemaker-2004
GRIA2,ATP2B1,0.009768185,Co-localization,Schadt-Shoemaker-2004
GRIA2,GRIA4,0.007023969,Co-localization,Schadt-Shoemaker-2004
GRIA3,GAD2,0.005249095,Co-localization,Schadt-Shoemaker-2004
GRIA3,GRIA4,0.00588591,Co-localization,Schadt-Shoemaker-2004
GRIA3,SST,0.00740444,Co-localization,Schadt-Shoemaker-2004
GRIA3,GRIA2,0.006349907,Co-localization,Schadt-Shoemaker-2004
CSPG4,GAD2,0.007662566,Co-localization,Schadt-Shoemaker-2004
CSPG4,GRIA2,0.008109188,Co-localization,Schadt-Shoemaker-2004
CSPG4,GRIA3,0.007391707,Co-localization,Schadt-Shoemaker-2004
NXPH1,FAM19A1,0.002218967,Genetic Interactions,Lin-Smith-2010
CIT,UNC5D,0.000620027,Genetic Interactions,Lin-Smith-2010
CIT,NXPH1,0.00119482,Genetic Interactions,Lin-Smith-2010
NPAS3,UNC5D,0.000417921,Genetic Interactions,Lin-Smith-2010
NPAS3,SGCZ,0.000473983,Genetic Interactions,Lin-Smith-2010
ELAVL2,FAM19A1,0.001861126,Genetic Interactions,Lin-Smith-2010
GAD2,CIT,0.001611117,Genetic Interactions,Lin-Smith-2010
GAD1,UNC5D,0.000750874,Genetic Interactions,Lin-Smith-2010
GAD1,CIT,0.000657122,Genetic Interactions,Lin-Smith-2010
GRIK1,SGCZ,0.000690318,Genetic Interactions,Lin-Smith-2010
GRIK1,GAD1,0.000645084,Genetic Interactions,Lin-Smith-2010
ZBTB20,PTCHD4,0.000299676,Genetic Interactions,Lin-Smith-2010
ZBTB20,UNC5D,0.000383078,Genetic Interactions,Lin-Smith-2010
ZBTB20,CIT,0.000335248,Genetic Interactions,Lin-Smith-2010
ATP2B1,NPAS3,0.000306781,Genetic Interactions,Lin-Smith-2010
ATP2B1,ZBTB20,0.000281203,Genetic Interactions,Lin-Smith-2010
GRIA4,UNC5D,0.000484656,Genetic Interactions,Lin-Smith-2010
GRIA4,NPAS3,0.000285888,Genetic Interactions,Lin-Smith-2010
GRIA4,ZBTB20,0.000262053,Genetic Interactions,Lin-Smith-2010
CELF2,PTCHD4,0.000231761,Genetic Interactions,Lin-Smith-2010
CELF2,FAM19A1,0.000481506,Genetic Interactions,Lin-Smith-2010
CELF2,UNC5D,0.000296261,Genetic Interactions,Lin-Smith-2010
CELF2,SGCZ,0.000336003,Genetic Interactions,Lin-Smith-2010
CELF2,CIT,0.000259271,Genetic Interactions,Lin-Smith-2010
CELF2,NPAS3,0.000174758,Genetic Interactions,Lin-Smith-2010
CELF2,GAD1,0.000313986,Genetic Interactions,Lin-Smith-2010
CELF2,ZNF536,0.000246758,Genetic Interactions,Lin-Smith-2010
CELF2,ZBTB20,0.000160188,Genetic Interactions,Lin-Smith-2010
CELF2,ATP2B1,0.000217474,Genetic Interactions,Lin-Smith-2010
CELF2,GRIA4,0.000202664,Genetic Interactions,Lin-Smith-2010
SST,CELF2,0.000641664,Genetic Interactions,Lin-Smith-2010
NRXN3,SGCZ,0.00042859,Genetic Interactions,Lin-Smith-2010
NRXN3,ZNF536,0.000314753,Genetic Interactions,Lin-Smith-2010
NRXN3,CELF2,0.000158021,Genetic Interactions,Lin-Smith-2010
BCL11A,CIT,0.000340523,Genetic Interactions,Lin-Smith-2010
BCL11A,NPAS3,0.000229525,Genetic Interactions,Lin-Smith-2010
BCL11A,GAD1,0.000412385,Genetic Interactions,Lin-Smith-2010
BCL11A,GRIK1,0.000334284,Genetic Interactions,Lin-Smith-2010
BCL11A,CELF2,0.000162708,Genetic Interactions,Lin-Smith-2010
BCL11A,NRXN3,0.000207543,Genetic Interactions,Lin-Smith-2010
CNR1,CELF2,0.000268595,Genetic Interactions,Lin-Smith-2010
CNR1,SST,0.001391195,Genetic Interactions,Lin-Smith-2010
CNR1,BCL11A,0.000352768,Genetic Interactions,Lin-Smith-2010
MAF,SGCZ,0.000431795,Genetic Interactions,Lin-Smith-2010
MAF,NPAS3,0.000224581,Genetic Interactions,Lin-Smith-2010
MAF,ZNF536,0.000317107,Genetic Interactions,Lin-Smith-2010
MAF,ZBTB20,0.000205857,Genetic Interactions,Lin-Smith-2010
MAF,CELF2,0.000159203,Genetic Interactions,Lin-Smith-2010
MAF,NRXN3,0.000203072,Genetic Interactions,Lin-Smith-2010
MAF,BCL11A,0.000209095,Genetic Interactions,Lin-Smith-2010
MAF,CNR1,0.000345169,Genetic Interactions,Lin-Smith-2010
OGT,NPAS3,0.000772337,Genetic Interactions,Lin-Smith-2010
KCNC1,FAM19A1,0.002167737,Genetic Interactions,Lin-Smith-2010
KCNC1,GAD1,0.001413561,Genetic Interactions,Lin-Smith-2010
KCNC1,ATP2B1,0.000979067,Genetic Interactions,Lin-Smith-2010
KCNC1,NRXN3,0.000711411,Genetic Interactions,Lin-Smith-2010
ERBB4,PTCHD4,0.000278315,Genetic Interactions,Lin-Smith-2010
ERBB4,FAM19A1,0.000578228,Genetic Interactions,Lin-Smith-2010
ERBB4,SGCZ,0.000403497,Genetic Interactions,Lin-Smith-2010
ERBB4,NPAS3,0.000209862,Genetic Interactions,Lin-Smith-2010
ERBB4,ZNF536,0.000296325,Genetic Interactions,Lin-Smith-2010
ERBB4,GRIK1,0.000305648,Genetic Interactions,Lin-Smith-2010
ERBB4,ATP2B1,0.000261159,Genetic Interactions,Lin-Smith-2010
ERBB4,CELF2,0.00014877,Genetic Interactions,Lin-Smith-2010
ERBB4,SST,0.000770558,Genetic Interactions,Lin-Smith-2010
ERBB4,NRXN3,0.000189764,Genetic Interactions,Lin-Smith-2010
ERBB4,BCL11A,0.000195392,Genetic Interactions,Lin-Smith-2010
ERBB4,CNR1,0.000322548,Genetic Interactions,Lin-Smith-2010
ERBB4,MAF,0.000191183,Genetic Interactions,Lin-Smith-2010
GRIA2,PTCHD4,0.000397892,Genetic Interactions,Lin-Smith-2010
GRIA2,GAD2,0.001321651,Genetic Interactions,Lin-Smith-2010
GRIA2,GRIK1,0.000436968,Genetic Interactions,Lin-Smith-2010
GRIA2,NRXN3,0.000271295,Genetic Interactions,Lin-Smith-2010
GRIA2,MAF,0.000273324,Genetic Interactions,Lin-Smith-2010
KCNC2,ZBTB20,0.00035216,Genetic Interactions,Lin-Smith-2010
KCNC2,NRXN3,0.000347397,Genetic Interactions,Lin-Smith-2010
KCNC2,MAF,0.000349996,Genetic Interactions,Lin-Smith-2010
GRIA3,MAF,0.000429223,Genetic Interactions,Lin-Smith-2010
GRIA3,ERBB4,0.000401094,Genetic Interactions,Lin-Smith-2010
CSPG4,GAD1,0.001406671,Genetic Interactions,Lin-Smith-2010
LRRFIP1,FAM19A1,0.00095859,Genetic Interactions,Lin-Smith-2010
LRRFIP1,UNC5D,0.000589801,Genetic Interactions,Lin-Smith-2010
LRRFIP1,CIT,0.00051616,Genetic Interactions,Lin-Smith-2010
LRRFIP1,NPAS3,0.000347911,Genetic Interactions,Lin-Smith-2010
LRRFIP1,ZBTB20,0.000318905,Genetic Interactions,Lin-Smith-2010
LRRFIP1,GRIA4,0.000403466,Genetic Interactions,Lin-Smith-2010
LRRFIP1,CELF2,0.000246631,Genetic Interactions,Lin-Smith-2010
LRRFIP1,GRIA2,0.000423422,Genetic Interactions,Lin-Smith-2010
PICK1,ERBB4,0.001898179,Genetic Interactions,Lin-Smith-2010
GRIA1,NPAS3,0.00023735,Genetic Interactions,Lin-Smith-2010
GRIA1,ELAVL2,0.000650344,Genetic Interactions,Lin-Smith-2010
GRIA1,ZBTB20,0.000217562,Genetic Interactions,Lin-Smith-2010
GRIA1,CELF2,0.000168256,Genetic Interactions,Lin-Smith-2010
GRIA1,CNR1,0.000364795,Genetic Interactions,Lin-Smith-2010
GRIA1,OGT,0.000743599,Genetic Interactions,Lin-Smith-2010
GRIA1,GRIA3,0.000453629,Genetic Interactions,Lin-Smith-2010
TRAK1,CIT,0.000944644,Genetic Interactions,Lin-Smith-2010
TRAK1,CELF2,0.000451369,Genetic Interactions,Lin-Smith-2010
TRAK1,GRIA1,0.000613033,Genetic Interactions,Lin-Smith-2010
SGCB,ZNF536,0.000620458,Genetic Interactions,Lin-Smith-2010
SGCB,ZBTB20,0.000402783,Genetic Interactions,Lin-Smith-2010
SGCB,CELF2,0.0003115,Genetic Interactions,Lin-Smith-2010
SGCB,BCL11A,0.00040912,Genetic Interactions,Lin-Smith-2010
FREM2,NXPH1,0.002544455,Genetic Interactions,Lin-Smith-2010
FREM2,ZNF536,0.001099765,Genetic Interactions,Lin-Smith-2010
FREM2,GRIA4,0.000903244,Genetic Interactions,Lin-Smith-2010
NLGN1,FAM19A1,0.000799188,Genetic Interactions,Lin-Smith-2010
NLGN1,GAD1,0.000521143,Genetic Interactions,Lin-Smith-2010
NLGN1,GRIA4,0.000336375,Genetic Interactions,Lin-Smith-2010
NLGN1,NRXN3,0.000262279,Genetic Interactions,Lin-Smith-2010
NLGN1,BCL11A,0.000270058,Genetic Interactions,Lin-Smith-2010
NLGN1,GRIA3,0.000554365,Genetic Interactions,Lin-Smith-2010
FRAS1,CIT,0.000463005,Genetic Interactions,Lin-Smith-2010
FRAS1,GRIK1,0.000454523,Genetic Interactions,Lin-Smith-2010
FRAS1,ZBTB20,0.000286063,Genetic Interactions,Lin-Smith-2010
FRAS1,CELF2,0.000221233,Genetic Interactions,Lin-Smith-2010
FRAS1,BCL11A,0.000290564,Genetic Interactions,Lin-Smith-2010
FRAS1,LRRFIP1,0.000440434,Genetic Interactions,Lin-Smith-2010
FRAS1,GRIA1,0.00030047,Genetic Interactions,Lin-Smith-2010
FRAS1,RHOC,0.002049658,Genetic Interactions,Lin-Smith-2010
CHD7,GAD1,0.00058018,Genetic Interactions,Lin-Smith-2010
CHD7,ZBTB20,0.000295994,Genetic Interactions,Lin-Smith-2010
CHD7,CELF2,0.000228913,Genetic Interactions,Lin-Smith-2010
CHD7,NRXN3,0.000291991,Genetic Interactions,Lin-Smith-2010
CHD7,BCL11A,0.000300651,Genetic Interactions,Lin-Smith-2010
CHD7,MAF,0.000294175,Genetic Interactions,Lin-Smith-2010
CHD7,LRRFIP1,0.000455723,Genetic Interactions,Lin-Smith-2010
CHD7,GRIA1,0.000310901,Genetic Interactions,Lin-Smith-2010
CHD7,FRAS1,0.000408792,Genetic Interactions,Lin-Smith-2010
KCNG3,GAD1,0.00252441,Genetic Interactions,Lin-Smith-2010
KCNG3,GRIK1,0.002046319,Genetic Interactions,Lin-Smith-2010
KCNG3,GRIA2,0.001709987,Genetic Interactions,Lin-Smith-2010
NPY4R,GRIA1,0.001331835,Genetic Interactions,Lin-Smith-2010
GRID2,FAM19A1,0.000599111,Genetic Interactions,Lin-Smith-2010
GRID2,UNC5D,0.000368621,Genetic Interactions,Lin-Smith-2010
GRID2,NXPH1,0.000710348,Genetic Interactions,Lin-Smith-2010
