Gene 1,Gene 2,Weight,Network group,Network
BNC2,FOXP2,0.015067158,Co-expression,Roth-Zlotnik-2006
NRXN3,CADM1,0.011082049,Co-expression,Roth-Zlotnik-2006
ERC2,CELF2,0.007518571,Co-expression,Roth-Zlotnik-2006
ENPP2,ZEB2,0.007322395,Co-expression,Roth-Zlotnik-2006
NLGN1,CADM1,0.015477617,Co-expression,Roth-Zlotnik-2006
RBFOX1,CELF2,0.009720696,Co-expression,Roth-Zlotnik-2006
RBFOX1,GRIA3,0.009048042,Co-expression,Roth-Zlotnik-2006
GRIA2,GRIA3,0.026316354,Co-expression,Roth-Zlotnik-2006
GRIA2,RBFOX1,0.01092928,Co-expression,Roth-Zlotnik-2006
DAB1,GRIA1,0.01805967,Co-expression,Roth-Zlotnik-2006
SYT1,CELF2,0.006336607,Co-expression,Roth-Zlotnik-2006
SYT1,R3HDM1,0.006404271,Co-expression,Roth-Zlotnik-2006
SYT1,ERC2,0.002674511,Co-expression,Roth-Zlotnik-2006
SYT1,GRIA2,0.007236282,Co-expression,Roth-Zlotnik-2006
DLG2,GRIA3,0.011464916,Co-expression,Roth-Zlotnik-2006
DLG2,NLGN1,0.008139551,Co-expression,Roth-Zlotnik-2006
DLG2,GRIA2,0.013186678,Co-expression,Roth-Zlotnik-2006
KCNMA1,SYT1,0.005988702,Co-expression,Roth-Zlotnik-2006
GRIN2A,ERC2,0.005374387,Co-expression,Roth-Zlotnik-2006
GRIN2A,SYT1,0.004699017,Co-expression,Roth-Zlotnik-2006
GRIN2B,GRIA3,0.022041373,Co-expression,Roth-Zlotnik-2006
NRXN1,ERC2,0.010422405,Co-expression,Roth-Zlotnik-2006
NRXN1,SYT1,0.008748952,Co-expression,Roth-Zlotnik-2006
LRP8,SYT1,0.006493976,Co-expression,Roth-Zlotnik-2006
CACNG2,NRXN1,0.011127047,Co-expression,Roth-Zlotnik-2006
BCL11A,R3HDM1,0.02118663,Co-expression,Wang-Maris-2006
ZEB2,CELF2,0.01672063,Co-expression,Wang-Maris-2006
HTR2C,ERC2,0.008749267,Co-expression,Wang-Maris-2006
ZIC1,R3HDM1,0.015490123,Co-expression,Wang-Maris-2006
NLGN1,ZEB2,0.015562961,Co-expression,Wang-Maris-2006
CADPS,ERC2,0.011301518,Co-expression,Wang-Maris-2006
GRIA1,ERC2,0.010341431,Co-expression,Wang-Maris-2006
SYT1,NLGN1,0.013673005,Co-expression,Wang-Maris-2006
DLG2,ERC2,0.010826974,Co-expression,Wang-Maris-2006
DLG2,SYT1,0.016661083,Co-expression,Wang-Maris-2006
NRXN1,NLGN1,0.021063885,Co-expression,Wang-Maris-2006
NRXN1,CADPS,0.013253645,Co-expression,Wang-Maris-2006
NRXN1,GRIA1,0.015987033,Co-expression,Wang-Maris-2006
NRXN1,SYT1,0.012287878,Co-expression,Wang-Maris-2006
LRP8,SYT1,0.017338071,Co-expression,Wang-Maris-2006
ERC2,CADM1,0.019171307,Co-expression,Burington-Shaughnessy-2008
CADPS,HTR2C,0.01841002,Co-expression,Burington-Shaughnessy-2008
APOE,ENPP2,0.012742545,Co-expression,Burington-Shaughnessy-2008
SYT1,ERC2,0.022274759,Co-expression,Burington-Shaughnessy-2008
DLG2,GRIA2,0.017252725,Co-expression,Burington-Shaughnessy-2008
ERC2,NRXN3,0.018293086,Co-expression,Mallon-McKay-2013
ENPP2,CSMD3,0.008485624,Co-expression,Mallon-McKay-2013
GRIA1,GRIA3,0.026301395,Co-expression,Mallon-McKay-2013
SYT1,GRIA1,0.014985045,Co-expression,Mallon-McKay-2013
DLG2,ERC2,0.022764025,Co-expression,Mallon-McKay-2013
GRIN2B,GRIA1,0.012621141,Co-expression,Mallon-McKay-2013
NRXN1,ERC2,0.011627777,Co-expression,Mallon-McKay-2013
FOXP1,FOXP2,0.01760115,Co-expression,Mallon-McKay-2013
CACNG2,GRIN2B,0.011278468,Co-expression,Mallon-McKay-2013
ZEB2,CELF2,0.015208237,Co-expression,Chen-Brown-2002
CADPS,ERC2,0.009211877,Co-expression,Chen-Brown-2002
GRIA2,ERC2,0.010559771,Co-expression,Chen-Brown-2002
GRIA2,CADPS,0.018274508,Co-expression,Chen-Brown-2002
CASK,APOE,0.009373872,Co-expression,Chen-Brown-2002
ZEB2,CELF2,0.025088632,Co-expression,Wu-Garvey-2007
HTR2C,ERC2,0.005063918,Co-expression,Wu-Garvey-2007
