Gene 1,Gene 2,Weight,Network group,Network
PROX1,NTNG1,0.017466865,Co-expression,Wang-Maris-2006
MEIS2,NTNG1,0.03110744,Co-expression,Wang-Maris-2006
MEIS2,PROX1,0.022070752,Co-expression,Wang-Maris-2006
ERC2,CADPS,0.011301518,Co-expression,Wang-Maris-2006
CBFA2T2,PROX1,0.010662191,Co-expression,Wang-Maris-2006
PPFIA3,ERC2,0.008659654,Co-expression,Wang-Maris-2006
TCF4,CBFA2T2,0.015139315,Co-expression,Wang-Maris-2006
TCF3,TCF12,0.012766833,Co-expression,Wang-Maris-2006
PPP3R1,GABRB2,0.010002892,Co-expression,Wang-Maris-2006
SLC4A7,TCF3,0.012232178,Co-expression,Wang-Maris-2006
ZBTB20,ZNF462,0.022014352,Co-expression,Roth-Zlotnik-2006
MEIS2,ZNF462,0.0200585,Co-expression,Roth-Zlotnik-2006
PPP2R2B,KIRREL3,0.015357215,Co-expression,Roth-Zlotnik-2006
ERC2,LRRTM4,0.005127398,Co-expression,Roth-Zlotnik-2006
ERC2,MYCBP2,0.006699367,Co-expression,Roth-Zlotnik-2006
ERC2,PPFIA2,0.004341328,Co-expression,Roth-Zlotnik-2006
RUNX1T1,ZFPM2,0.015360349,Co-expression,Roth-Zlotnik-2006
CADPS2,ZFPM2,0.007908925,Co-expression,Roth-Zlotnik-2006
CADPS2,RUNX1T1,0.01253001,Co-expression,Roth-Zlotnik-2006
GABRA1,GABRB2,0.016938474,Co-expression,Roth-Zlotnik-2006
GABRG2,LRRTM4,0.004626963,Co-expression,Roth-Zlotnik-2006
GABRG2,MYCBP2,0.005968162,Co-expression,Roth-Zlotnik-2006
GABRG2,ERC2,0.002745503,Co-expression,Roth-Zlotnik-2006
GABRG2,GABRB2,0.0086003,Co-expression,Roth-Zlotnik-2006
GABRG2,GABRA1,0.004871531,Co-expression,Roth-Zlotnik-2006
TCF4,ZFPM2,0.011818433,Co-expression,Roth-Zlotnik-2006
TCF4,MYCBP2,0.01534966,Co-expression,Roth-Zlotnik-2006
TCF4,RUNX1T1,0.022381898,Co-expression,Roth-Zlotnik-2006
PPP3R1,LRRTM4,0.011597336,Co-expression,Roth-Zlotnik-2006
PPP3R1,PPP3CA,0.011802422,Co-expression,Roth-Zlotnik-2006
NEGR1,LRRTM4,0.014272684,Co-expression,Roth-Zlotnik-2006
NEGR1,ERC2,0.008207017,Co-expression,Roth-Zlotnik-2006
NEGR1,GABRG2,0.00699741,Co-expression,Roth-Zlotnik-2006
NPHS2,SLC4A4,0.009320033,Co-expression,Roth-Zlotnik-2006
RFX3,ZFPM2,0.021853,Co-expression,Innocenti-Brown-2011
LYST,AUTS2,0.02117875,Co-expression,Innocenti-Brown-2011
NPHS2,GABRB2,0.001766671,Co-expression,Innocenti-Brown-2011
CADPS,KCNN2,0.01976323,Co-expression,Mallon-McKay-2013
ERC2,NTM,0.017292935,Co-expression,Mallon-McKay-2013
GABRG2,GABRA1,0.005312133,Co-expression,Mallon-McKay-2013
TCF12,RFX3,0.014459278,Co-expression,Mallon-McKay-2013
NPHS2,SLC4A4,0.006615018,Co-expression,Mallon-McKay-2013
NTNG1,TRPM3,0.012240409,Co-expression,Dobbin-Giordano-2005
MEIS2,ZFPM2,0.006365716,Co-expression,Dobbin-Giordano-2005
DMD,KCNN2,0.013220851,Co-expression,Dobbin-Giordano-2005
GABRB2,PPFIA2,0.007381042,Co-expression,Dobbin-Giordano-2005
GABRG2,TRPM3,0.015822299,Co-expression,Dobbin-Giordano-2005
GABRG2,NTNG1,0.005670833,Co-expression,Dobbin-Giordano-2005
TCF4,MEIS2,0.006226998,Co-expression,Dobbin-Giordano-2005
TCF4,MYCBP2,0.011963425,Co-expression,Dobbin-Giordano-2005
TCF12,MYCBP2,0.019444853,Co-expression,Dobbin-Giordano-2005
PPFIA2,KIRREL3,0.008053838,Co-expression,Chen-Brown-2002
ERC2,CADPS,0.009211877,Co-expression,Chen-Brown-2002
ERC2,MEIS2,0.008769918,Co-expression,Chen-Brown-2002
PPFIA1,CADPS,0.012842448,Co-expression,Chen-Brown-2002
PPFIA1,ERC2,0.006693239,Co-expression,Chen-Brown-2002
FKBP1A,GABRG2,0.006329682,Co-expression,Chen-Brown-2002
PPFIA2,NTNG1,0.025579492,Co-expression,Burington-Shaughnessy-2008
